# Table format: 1D
# AnglePCyl 	PCyl_raw
112.25  1.43659
112.45  1.44104
112.65  1.44414
112.85  1.446
113.05  1.4468
113.25  1.44677
113.45  1.44621
113.65  1.44539
113.85  1.44462
114.05  1.44418
114.25  1.44429
114.45  1.44513
114.65  1.44681
114.85  1.44934
115.05  1.45269
115.25  1.45672
115.45  1.46125
115.65  1.46603
115.85  1.4708
116.05  1.47524
116.25  1.47909
116.45  1.48208
116.65  1.48398
116.85  1.48465
117.05  1.48399
117.25  1.482
117.45  1.47878
117.65  1.47447
117.85  1.46933
118.05  1.46366
118.25  1.4578
118.45  1.45214
118.65  1.44707
118.85  1.44294
119.05  1.44009
119.25  1.43879
119.45  1.43923
119.65  1.44154
119.85  1.44572
120.05  1.4517
120.25  1.45929
120.45  1.46824
120.65  1.47821
120.85  1.48881
121.05  1.49961
121.25  1.5102
121.45  1.52014
121.65  1.52906
121.85  1.53661
122.05  1.54256
122.25  1.54672
122.45  1.54904
122.65  1.54952
122.85  1.5483
123.05  1.54559
123.25  1.54165
123.45  1.53685
123.65  1.53156
123.85  1.52617
124.05  1.52109
124.25  1.51668
124.45  1.51327
124.65  1.51114
124.85  1.51046
125.05  1.51136
125.25  1.51386
125.45  1.51791
125.65  1.52338
125.85  1.53006
126.05  1.53769
126.25  1.54596
126.45  1.55454
126.65  1.56309
126.85  1.57126
127.05  1.57875
127.25  1.58526
127.45  1.59055
127.65  1.59443
127.85  1.59679
128.05  1.59754
128.25  1.59671
128.45  1.59435
128.65  1.59059
128.85  1.58562
129.05  1.57967
129.25  1.57301
129.45  1.56597
129.65  1.55886
129.85  1.55203
130.05  1.54581
130.25  1.54054
130.45  1.53649
130.65  1.53393
130.85  1.53305
131.05  1.53398
131.25  1.53679
131.45  1.54145
131.65  1.54784
131.85  1.55577
132.05  1.56496
132.25  1.57504
132.45  1.5856
132.65  1.59618
132.85  1.60629
133.05  1.61544
133.25  1.62319
133.45  1.62912
133.65  1.63293
133.85  1.63438
134.05  1.63338
134.25  1.62996
134.45  1.6243
134.65  1.61671
134.85  1.60761
135.05  1.59754
135.25  1.58712
135.45  1.57699
135.65  1.56783
135.85  1.56025
136.05  1.55483
136.25  1.552
136.45  1.55207
136.65  1.5552
136.85  1.56135
137.05  1.57031
137.25  1.5817
137.45  1.59499
137.65  1.60952
137.85  1.62456
138.05  1.63933
138.25  1.65306
138.45  1.66504
138.65  1.67463
138.85  1.68138
139.05  1.68496
139.25  1.68527
139.45  1.68237
139.65  1.67654
139.85  1.66822
140.05  1.658
140.25  1.64658
140.45  1.63471
140.65  1.62318
140.85  1.61272
141.05  1.60399
141.25  1.59753
141.45  1.59373
141.65  1.5928
141.85  1.59477
142.05  1.59947
142.25  1.6066
142.45  1.6157
142.65  1.62619
142.85  1.63744
143.05  1.64878
143.25  1.65959
143.45  1.66927
143.65  1.67734
143.85  1.68342
144.05  1.68728
144.25  1.68883
144.45  1.68814
144.65  1.6854
144.85  1.6809
145.05  1.67505
145.25  1.66829
145.45  1.66109
145.65  1.65393
145.85  1.64724
146.05  1.6414
146.25  1.63672
146.45  1.6334
146.65  1.63158
146.85  1.6313
147.05  1.63252
147.25  1.63512
147.45  1.63895
147.65  1.6438
147.85  1.64945
148.05  1.65569
148.25  1.66228
148.45  1.66902
148.65  1.67573
148.85  1.68224
149.05  1.6884
149.25  1.6941
149.45  1.69922
149.65  1.70366
149.85  1.70732
150.05  1.71012
150.25  1.71198
150.45  1.71283
150.65  1.71263
150.85  1.71135
151.05  1.70901
151.25  1.70567
151.45  1.70145
151.65  1.6965
151.85  1.69108
152.05  1.68544
152.25  1.67993
152.45  1.67491
152.65  1.67075
152.85  1.66782
153.05  1.66647
153.25  1.66699
153.45  1.66957
153.65  1.67434
153.85  1.68129
154.05  1.6903
154.25  1.70113
154.45  1.7134
154.65  1.72667
154.85  1.74039
155.05  1.75396
155.25  1.76679
155.45  1.77829
155.65  1.78792
155.85  1.79525
156.05  1.79996
156.25  1.80186
156.45  1.80094
156.65  1.79733
156.85  1.79132
157.05  1.78335
157.25  1.77396
157.45  1.76378
157.65  1.75348
157.85  1.74375
158.05  1.73521
158.25  1.72844
158.45  1.72389
158.65  1.72188
158.85  1.72256
159.05  1.72594
159.25  1.73184
159.45  1.73994
159.65  1.74978
159.85  1.7608
160.05  1.77237
160.25  1.78382
160.45  1.7945
160.65  1.8038
160.85  1.81118
161.05  1.81625
161.25  1.81871
161.45  1.81843
161.65  1.81545
161.85  1.80993
162.05  1.80219
162.25  1.79268
162.45  1.78192
162.65  1.77051
162.85  1.75906
163.05  1.74821
163.25  1.73851
163.45  1.73048
163.65  1.72453
163.85  1.72093
164.05  1.71985
164.25  1.7213
164.45  1.72516
164.65  1.73117
164.85  1.73896
165.05  1.74808
165.25  1.758
165.45  1.76814
165.65  1.77793
165.85  1.78682
166.05  1.79431
166.25  1.79998
166.45  1.80352
166.65  1.80472
166.85  1.80354
167.05  1.80002
167.25  1.79437
167.45  1.78691
167.65  1.77806
167.85  1.76832
168.05  1.75823
168.25  1.74838
168.45  1.73933
168.65  1.73161
168.85  1.72567
169.05  1.72189
169.25  1.7205
169.45  1.72162
169.65  1.72524
169.85  1.73121
170.05  1.73923
170.25  1.74892
170.45  1.7598
170.65  1.77132
170.85  1.78291
171.05  1.79399
171.25  1.80403
171.45  1.81254
171.65  1.81915
171.85  1.82359
172.05  1.8257
172.25  1.82548
172.45  1.82304
172.65  1.81863
172.85  1.81259
173.05  1.80536
173.25  1.79742
173.45  1.78928
173.65  1.78147
173.85  1.77443
174.05  1.7686
174.25  1.7643
174.45  1.76174
174.65  1.76105
174.85  1.7622
175.05  1.7651
175.25  1.76952
175.45  1.77516
175.65  1.78166
