# Table format: 4D
# table_unit = K
# axis1_unit = m
# axis2_unit = null
# axis3_unit = null
# axis4_unit = null
# This table contains the values of the profile temperatures data extracted from Global Climatic Data for Developing Military Products (MIL-HDBK-310)
# geometric altitude
# extreme altitude
# extreme value 
# percentage


41
5
4
2

0	2000	4000	6000	8000	10000	12000	14000	16000	18000	20000	22000	24000	26000	28000	30000	32000	34000	36000	38000	40000	42000	44000	46000	48000	50000	52000	54000	56000	58000	60000	62000	64000	66000	68000	70000	72000	74000	76000	78000	80000
236.650	250.023	237.604	225.192	212.788	206.650	206.631	201.639	196.650	191.664	186.682	189.619	192.605	198.920	205.282	211.640	217.994	224.344	230.690	237.032	243.370	249.705	256.035	262.362	264.650	264.650	264.650	264.650	263.152	258.622	254.094	245.367	235.537	227.468	224.719	221.971	219.226	216.482	213.740	211.000	208.261
241.150	241.547	237.242	229.645	222.053	220.150	220.150	219.657	218.661	217.665	216.670	208.851	200.899	195.448	192.867	190.288	190.150	190.150	193.829	197.787	205.328	218.177	231.018	243.851	256.676	258.650	255.536	251.794	248.862	247.878	246.895	245.913	244.932	243.951	242.970	241.990	238.583	233.886	229.192	224.500	219.812
253.150	255.874	242.856	229.847	216.845	215.157	217.155	216.648	213.655	210.664	207.675	204.688	201.702	200.150	200.150	200.150	200.150	200.150	200.150	200.150	201.835	205.793	212.087	219.599	227.105	234.607	242.104	249.596	252.792	247.082	241.374	242.467	245.415	248.362	251.307	254.249	252.157	247.846	243.538	239.233	234.930
251.150	245.142	234.117	224.643	221.652	222.650	223.649	224.646	225.150	225.150	225.150	225.150	225.150	225.150	225.150	225.150	228.812	236.941	245.065	253.184	261.298	266.150	266.150	266.150	266.150	261.917	256.988	252.062	247.139	242.219	237.302	234.645	232.681	230.718	228.756	226.795	222.996	218.297	213.600	208.906	204.215
295.150	287.567	274.792	260.756	242.815	224.884	206.965	205.673	204.678	205.360	207.942	210.522	213.101	215.678	219.356	224.503	229.648	234.789	239.926	245.062	250.192	255.321	256.150	256.150	256.150	256.150	253.254	249.520	245.789	242.060	238.334	234.609	230.888	227.168	223.451	219.736	218.150	218.150	218.103	214.202	210.304
301.150	291.179	281.214	271.256	261.304	245.483	229.580	213.687	197.803	193.482	203.000	212.512	216.845	220.803	224.759	228.712	232.663	236.612	240.558	245.514	252.411	259.303	266.191	271.150	271.150	271.150	265.321	259.435	253.554	247.675	241.801	235.930	230.063	224.199	218.339	212.483	206.631	200.782	194.937	189.095	190.448
282.150	273.132	264.103	250.093	236.091	222.177	229.368	231.150	231.150	231.150	231.150	232.137	233.133	234.127	235.121	236.114	239.208	244.764	250.315	255.864	261.409	266.950	272.488	278.023	280.401	282.375	283.650	283.650	281.939	278.985	276.033	272.927	263.099	253.277	243.461	233.652	220.447	205.751	191.064	176.386	161.717
294.150	280.932	267.723	253.116	237.124	221.151	224.346	227.538	229.643	230.639	231.635	232.630	233.625	234.619	237.367	242.131	246.893	251.651	256.407	261.159	265.909	270.655	275.399	280.140	283.150	283.150	281.054	277.508	273.963	270.421	266.881	263.343	257.840	246.062	234.291	222.527	210.771	199.022	187.280	175.546	163.819
281.650	276.647	280.148	264.162	248.187	232.221	216.265	208.150	208.150	209.592	212.577	215.559	218.539	221.518	224.495	227.470	230.443	233.414	239.116	245.051	250.982	256.910	262.833	268.753	271.150	267.717	261.808	255.903	250.002	244.104	238.209	232.319	226.432	220.548	214.669	208.793	202.920	197.052	191.187	185.325	179.468
228.150	229.142	223.165	231.152	232.151	233.150	233.150	232.364	229.174	225.986	222.799	219.615	216.433	213.253	213.150	213.150	213.150	213.150	213.150	213.150	216.777	220.732	224.685	228.636	232.583	236.529	240.472	244.412	248.030	245.668	243.308	243.250	245.410	247.570	249.728	251.884	252.342	250.384	248.427	248.471	244.517
235.150	243.632	229.623	215.623	210.154	213.150	213.150	213.150	216.598	223.572	239.403	250.961	247.978	244.997	242.017	239.040	238.150	238.150	238.150	238.150	238.150	238.150	239.685	243.636	247.583	251.529	255.150	255.150	252.590	249.441	246.295	243.150	240.007	238.437	237.456	236.475	234.842	232.884	230.927	228.971	227.017
248.150	250.624	237.606	224.597	211.595	205.150	202.892	199.898	196.905	193.914	192.133	194.125	196.115	198.104	201.374	209.121	216.863	224.601	232.334	240.062	247.785	255.504	259.189	260.771	262.150	262.150	262.150	256.305	249.408	242.516	235.628	233.069	231.693	230.318	228.944	227.570	225.109	222.170	219.233	216.297	213.363
253.150	257.122	243.103	229.093	215.091	201.150	201.150	198.747	195.555	192.365	189.176	189.150	189.150	189.831	192.813	195.793	198.771	206.639	216.553	226.460	236.362	246.257	256.147	266.030	275.907	282.150	280.753	276.810	272.869	268.930	261.222	250.404	239.594	228.790	217.993	207.202	201.150	201.150	201.150	201.150	201.150
291.650	291.133	283.190	268.276	253.337	238.407	223.496	208.575	193.674	196.813	204.751	212.683	217.607	221.173	224.735	228.296	231.855	235.411	238.965	242.517	246.066	249.613	253.159	256.701	260.150	260.150	260.150	260.150	254.522	246.679	238.840	231.006	223.177	215.353	210.419	207.489	204.560	201.634	198.709	195.786	192.864
300.650	289.682	278.721	267.767	256.820	243.005	226.108	209.221	195.008	189.610	206.663	211.757	216.114	220.468	224.819	229.168	233.514	237.357	242.198	246.535	250.870	255.203	259.532	263.859	268.150	268.150	268.150	268.150	262.555	256.677	250.803	244.932	239.065	233.201	227.893	223.013	218.136	213.262	208.391	203.523	198.658
273.150	263.128	253.105	241.094	229.090	228.701	234.150	234.150	234.150	234.150	234.150	234.150	234.150	234.150	237.071	240.051	243.030	247.720	252.480	257.932	264.270	270.605	278.935	283.262	287.150	287.150	287.150	284.317	279.587	274.859	270.135	285.414	260.696	253.933	240.974	228.023	215.079	202.144	189.217	178.298	163.387
285.150	274.135	263.113	245.112	227.140	223.652	227.645	228.650	228.650	228.650	228.650	230.611	232.599	234.587	239.651	244.813	249.971	255.126	260.278	265.427	270.572	275.714	280.853	285.989	286.650	286.650	286.650	283.813	278.890	273.970	269.054	264.140	256.228	245.235	234.248	223.269	212.296	201.331	190.372	179.420	168.474
283.150	271.134	259.125	247.124	235.131	226.551	228.148	228.150	228.150	228.150	228.150	230.503	232.889	235.275	238.421	244.376	250.328	256.276	262.221	268.162	274.099	278.841	281.806	284.769	286.650	286.650	285.454	281.908	278.363	274.821	271.281	267.743	264.207	252.562	240.791	229.027	217.271	205.522	193.780	182.046	170.319
229.650	236.633	228.621	219.105	209.150	209.150	209.137	205.143	202.150	202.150	202.150	206.061	214.023	221.980	229.932	237.879	245.821	252.753	255.727	258.700	261.671	263.889	262.306	260.725	259.144	257.565	255.986	254.409	252.832	251.256	248.101	241.217	234.336	229.150	229.150	229.150	227.781	225.821	223.862	221.905	219.949
246.150	258.124	246.105	232.681	217.876	203.150	203.137	199.542	195.950	192.360	188.773	185.187	188.105	191.089	194.071	197.051	202.882	212.010	221.132	230.249	239.361	248.466	257.566	266.660	275.749	279.150	279.150	279.150	279.150	267.802	254.024	240.253	226.491	215.516	212.964	210.413	207.863	205.316	203.150	203.150	203.150
240.150	254.130	245.095	230.482	215.877	207.136	204.139	201.144	198.150	195.159	192.169	192.150	192.150	196.068	200.045	204.019	207.990	211.959	219.700	227.628	235.551	243.468	251.381	259.289	264.150	264.150	264.150	264.150	262.977	259.432	255.889	247.055	236.832	228.858	227.679	226.502	223.951	220.815	217.681	214.549	211.420
253.150	254.374	241.356	228.347	215.345	212.150	212.150	210.648	207.655	204.664	201.675	198.688	195.702	194.150	194.150	194.150	197.074	203.423	209.768	216.109	222.446	228.779	235.108	241.433	247.754	254.071	258.150	258.150	256.356	250.843	245.332	239.825	237.756	238.935	240.113	241.290	238.657	234.346	230.038	225.733	221.430
253.150	255.874	242.856	229.847	216.845	214.404	215.403	212.647	208.656	204.668	200.683	199.663	198.667	197.673	198.233	198.829	199.424	200.019	200.614	205.305	210.256	215.204	220.148	226.409	234.705	242.997	246.528	249.288	250.189	247.235	244.283	241.333	242.160	244.125	246.088	248.050	245.657	241.346	237.038	232.733	228.430
238.150	247.129	235.116	223.110	211.159	213.957	216.753	217.352	215.756	214.161	212.567	210.975	209.383	207.792	206.202	213.832	221.771	229.704	237.634	245.558	253.477	260.150	260.150	259.310	257.138	254.967	252.797	250.629	249.150	249.150	249.150	249.150	249.150	249.150	249.150	249.150	245.663	240.570	235.480	230.393	225.309
289.150	281.160	273.175	256.245	239.298	222.361	205.436	205.150	205.150	207.469	209.853	212.235	214.615	216.994	219.372	221.748	224.122	226.495	228.867	234.368	240.289	246.207	252.121	258.032	263.650	263.650	263.583	259.260	254.939	250.621	246.306	241.993	237.683	233.276	229.071	224.890	221.959	219.029	216.102	213.176	210.252
301.150	290.182	279.221	268.267	257.319	241.483	225.580	209.687	193.803	189.211	198.134	207.652	214.014	218.369	222.720	227.069	231.415	235.758	240.363	247.264	254.161	261.053	267.941	274.650	274.650	274.650	270.610	265.116	259.627	254.140	248.657	243.178	237.702	232.229	226.760	221.294	214.624	206.826	199.032	191.243	191.549
292.150	279.333	266.524	252.718	237.926	223.151	225.946	228.739	230.150	230.150	230.150	230.150	230.150	232.306	235.285	238.263	241.710	247.064	252.414	257.760	263.104	268.444	273.780	279.114	281.150	281.150	281.150	279.221	275.873	272.528	269.185	265.843	258.340	246.562	234.791	223.027	211.271	199.522	187.780	176.046	164.319
290.150	278.134	266.125	252.718	237.926	223.151	225.946	228.739	230.150	230.150	230.150	230.150	230.779	233.562	236.343	239.122	243.150	248.701	254.249	259.794	265.335	270.873	276.407	281.938	282.650	282.650	280.320	277.561	274.805	272.049	269.296	266.544	259.340	247.562	235.791	224.027	212.271	200.522	188.780	177.046	165.319
289.150	289.158	283.170	268.554	251.011	233.479	215.958	207.831	203.650	203.650	211.317	216.912	219.689	222.464	225.238	228.009	230.779	233.548	236.314	241.855	247.776	253.693	259.607	265.516	266.650	265.534	261.601	257.671	253.744	249.818	245.896	239.836	232.784	225.737	218.694	211.655	207.307	204.963	202.622	200.281	197.942
243.150	241.338	231.732	222.154	224.553	226.950	228.150	228.150	227.165	225.173	223.182	221.192	219.203	217.215	216.150	216.150	216.150	216.150	221.710	227.650	233.587	239.520	245.449	251.374	257.296	258.150	258.150	257.206	254.252	251.301	248.351	245.403	242.457	239.768	238.002	236.238	234.474	232.712	230.951	229.191	227.432
230.150	235.137	229.114	219.105	209.150	209.150	209.137	205.143	202.150	202.150	202.150	206.061	214.023	221.980	229.932	237.879	245.821	252.753	255.727	258.700	261.761	263.889	262.306	260.725	259.144	257.565	255.986	254.409	252.832	251.256	248.101	241.217	234.336	229.150	229.150	229.150	227.781	225.821	223.862	221.905	219.949
247.150	245.528	234.312	223.104	211.983	209.139	206.142	203.148	200.155	197.164	194.175	191.188	193.901	196.686	201.164	207.521	213.874	220.223	226.568	232.909	239.246	245.579	250.648	255.590	260.528	261.150	261.150	257.172	250.472	243.777	237.085	234.569	233.193	231.818	230.444	229.070	228.473	223.338	220.205	217.074	213.944
253.650	256.626	244.610	232.601	220.599	208.635	204.640	200.647	196.656	192.668	188.683	188.650	188.650	191.226	196.593	201.957	207.317	212.674	220.053	229.960	239.862	249.757	259.647	269.530	279.407	280.650	278.974	274.242	269.513	264.786	260.063	253.382	241.589	229.803	218.024	206.252	202.650	202.650	202.650	202.650	202.650
