# Table format: 1D
# AnglePCyl 	PCyl_raw
154.05  1.18748
154.25  1.18717
154.45  1.18682
154.65  1.18642
154.85  1.18598
155.05  1.18548
155.25  1.18495
155.45  1.18437
155.65  1.18375
155.85  1.1831
156.05  1.18241
156.25  1.1817
156.45  1.18098
156.65  1.18024
156.85  1.17948
157.05  1.17872
157.25  1.17796
157.45  1.17718
157.65  1.1764
157.85  1.17561
158.05  1.17481
158.25  1.17399
158.45  1.17317
158.65  1.17233
158.85  1.17148
159.05  1.17062
159.25  1.16975
159.45  1.16888
159.65  1.16801
159.85  1.16715
160.05  1.16629
160.25  1.16545
160.45  1.16462
160.65  1.16381
160.85  1.16301
161.05  1.16222
161.25  1.16144
161.45  1.16066
161.65  1.15986
161.85  1.15905
162.05  1.15822
162.25  1.15735
162.45  1.15645
162.65  1.15551
162.85  1.15452
163.05  1.15351
163.25  1.15246
163.45  1.15138
163.65  1.1503
163.85  1.14921
164.05  1.14814
164.25  1.14708
164.45  1.14606
164.65  1.14507
164.85  1.14413
165.05  1.14322
165.25  1.14236
165.45  1.14153
165.65  1.14072
165.85  1.13993
166.05  1.13913
166.25  1.13833
166.45  1.13751
166.65  1.13667
166.85  1.1358
167.05  1.1349
167.25  1.13398
167.45  1.13305
167.65  1.13211
167.85  1.13119
168.05  1.13029
168.25  1.12944
168.45  1.12864
168.65  1.1279
168.85  1.12724
169.05  1.12665
169.25  1.12612
169.45  1.12565
169.65  1.12521
169.85  1.1248
170.05  1.12438
170.25  1.12395
170.45  1.12347
170.65  1.12293
170.85  1.12232
171.05  1.12165
171.25  1.12091
171.45  1.12011
171.65  1.11928
171.85  1.11844
172.05  1.11762
172.25  1.11686
172.45  1.11618
172.65  1.11563
172.85  1.11521
173.05  1.11495
173.25  1.11485
173.45  1.11491
173.65  1.11509
173.85  1.11538
174.05  1.11574
174.25  1.11611
174.45  1.11644
174.65  1.11668
174.85  1.11678
175.05  1.11668
175.25  1.11636
175.45  1.11579
175.65  1.11497
175.85  1.11389
176.05  1.11258
176.25  1.11108
176.45  1.10944
176.65  1.10771
176.85  1.10598
177.05  1.1043
177.25  1.10274
177.45  1.10137
177.65  1.10024
177.85  1.09939
178.05  1.09885
178.25  1.09862
178.45  1.0987
178.65  1.09906
178.85  1.09968
179.05  1.10051
179.25  1.1015
179.45  1.10259
179.65  1.10372
179.85  1.10485
180.05  1.10593
180.25  1.10693
180.45  1.1078
180.65  1.10855
180.85  1.10917
181.05  1.10966
181.25  1.11003
181.45  1.11031
181.65  1.11052
181.85  1.11068
182.05  1.11083
182.25  1.11098
182.45  1.11116
182.65  1.11136
182.85  1.11161
183.05  1.11189
183.25  1.11221
183.45  1.11255
183.65  1.11291
183.85  1.11326
184.05  1.1136
184.25  1.11391
184.45  1.11419
184.65  1.11442
184.85  1.11462
185.05  1.11478
185.25  1.1149
185.45  1.115
185.65  1.11508
185.85  1.11515
186.05  1.11523
186.25  1.11531
186.45  1.11541
186.65  1.11552
186.85  1.11563
187.05  1.11576
187.25  1.11588
187.45  1.11599
187.65  1.11608
187.85  1.11615
188.05  1.11619
188.25  1.11618
188.45  1.11615
188.65  1.11608
188.85  1.11598
189.05  1.11586
189.25  1.11574
189.45  1.11563
189.65  1.11553
189.85  1.11546
190.05  1.11544
190.25  1.11546
190.45  1.11553
190.65  1.11564
190.85  1.1158
191.05  1.116
191.25  1.11621
191.45  1.11644
191.65  1.11667
191.85  1.11687
192.05  1.11706
192.25  1.11721
192.45  1.11732
192.65  1.11739
192.85  1.11742
193.05  1.11742
193.25  1.11741
193.45  1.11739
193.65  1.11737
193.85  1.11738
194.05  1.11741
194.25  1.11748
194.45  1.1176
194.65  1.11777
194.85  1.11799
195.05  1.11824
195.25  1.11853
195.45  1.11885
195.65  1.11917
195.85  1.11949
196.05  1.1198
196.25  1.12009
196.45  1.12035
196.65  1.12059
196.85  1.1208
197.05  1.12098
197.25  1.12116
197.45  1.12135
197.65  1.12155
197.85  1.12178
198.05  1.12206
198.25  1.12239
198.45  1.1228
198.65  1.12327
198.85  1.12382
199.05  1.12445
199.25  1.12513
199.45  1.12588
199.65  1.12666
199.85  1.12746
200.05  1.12828
200.25  1.12909
200.45  1.12988
200.65  1.13064
200.85  1.13138
201.05  1.13208
201.25  1.13275
201.45  1.1334
201.65  1.13403
201.85  1.13467
202.05  1.13532
202.25  1.136
202.45  1.13672
202.65  1.1375
202.85  1.13834
203.05  1.13925
203.25  1.14024
203.45  1.14129
203.65  1.14241
203.85  1.14358
204.05  1.14479
204.25  1.14603
204.45  1.1473
204.65  1.14856
204.85  1.14983
205.05  1.15108
205.25  1.15231
205.45  1.15352
205.65  1.15471
205.85  1.15589
206.05  1.15705
206.25  1.15822
206.45  1.1594
206.65  1.1606
206.85  1.16183
207.05  1.1631
207.25  1.16441
207.45  1.16577
207.65  1.16719
207.85  1.16865
208.05  1.17015
208.25  1.1717
208.45  1.17329
208.65  1.1749
208.85  1.17653
209.05  1.17818
209.25  1.17983
209.45  1.18148
209.65  1.18313
209.85  1.18478
210.05  1.18642
210.25  1.18806
210.45  1.18969
210.65  1.19133
210.85  1.19297
211.05  1.19463
211.25  1.19631
211.45  1.198
211.65  1.19972
211.85  1.20146
212.05  1.20324
212.25  1.20504
212.45  1.20688
212.65  1.20875
212.85  1.21066
213.05  1.21259
213.25  1.21455
213.45  1.21654
213.65  1.21856
213.85  1.2206
214.05  1.22268
214.25  1.22478
214.45  1.2269
214.65  1.22906
214.85  1.23124
215.05  1.23346
215.25  1.2357
215.45  1.23798
215.65  1.24028
215.85  1.24262
216.05  1.24499
216.25  1.2474
216.45  1.24984
216.65  1.25231
216.85  1.25481
217.05  1.25735
217.25  1.25992
217.45  1.26253
217.65  1.26518
217.85  1.26786
218.05  1.27058
218.25  1.27335
218.45  1.27615
218.65  1.279
218.85  1.28189
219.05  1.28483
219.25  1.28781
219.45  1.29084
219.65  1.29391
219.85  1.29703
220.05  1.3002
220.25  1.30341
220.45  1.30666
220.65  1.30996
220.85  1.31329
221.05  1.31665
221.25  1.32005
221.45  1.32348
221.65  1.32692
221.85  1.33039
222.05  1.33386
222.25  1.33734
222.45  1.34082
222.65  1.34428
222.85  1.34773
223.05  1.35117
223.25  1.35457
223.45  1.35795
223.65  1.36129
223.85  1.36459
224.05  1.36786
224.25  1.37109
224.45  1.37429
224.65  1.37746
224.85  1.3806
225.05  1.38373
225.25  1.38684
225.45  1.38995
225.65  1.39306
225.85  1.39618
226.05  1.39931
226.25  1.40247
226.45  1.40566
226.65  1.40887
226.85  1.41211
227.05  1.41538
227.25  1.41868
227.45  1.42199
227.65  1.42532
227.85  1.42866
228.05  1.432
228.25  1.43533
228.45  1.43864
228.65  1.44192
228.85  1.44516
229.05  1.44837
229.25  1.45153
229.45  1.45464
229.65  1.4577
229.85  1.46072
230.05  1.4637
230.25  1.46664
230.45  1.46955
230.65  1.47245
230.85  1.47534
231.05  1.47824
231.25  1.48115
231.45  1.48408
231.65  1.48706
231.85  1.49007
232.05  1.49313
232.25  1.49623
232.45  1.49938
232.65  1.50257
232.85  1.5058
233.05  1.50905
233.25  1.51231
233.45  1.51557
233.65  1.51883
233.85  1.52205
234.05  1.52525
234.25  1.52839
234.45  1.53149
234.65  1.53454
234.85  1.53753
235.05  1.54047
235.25  1.54337
235.45  1.54624
235.65  1.54909
235.85  1.55193
236.05  1.55478
236.25  1.55764
236.45  1.56055
236.65  1.5635
236.85  1.5665
237.05  1.56956
237.25  1.57267
237.45  1.57584
237.65  1.57907
237.85  1.58234
238.05  1.58564
238.25  1.58897
238.45  1.59231
238.65  1.59566
238.85  1.59901
239.05  1.60235
239.25  1.60569
239.45  1.60902
239.65  1.61235
239.85  1.61568
240.05  1.61903
240.25  1.62241
240.45  1.62581
240.65  1.62926
240.85  1.63276
241.05  1.63631
241.25  1.63992
241.45  1.64358
241.65  1.64729
241.85  1.65104
242.05  1.65482
242.25  1.65862
242.45  1.66242
242.65  1.66622
242.85  1.67
243.05  1.67376
243.25  1.6775
243.45  1.6812
243.65  1.68489
243.85  1.68856
244.05  1.69222
244.25  1.69589
244.45  1.69958
244.65  1.7033
244.85  1.70706
245.05  1.71085
245.25  1.7147
245.45  1.71858
245.65  1.72249
245.85  1.72642
246.05  1.73035
246.25  1.73426
246.45  1.73814
246.65  1.74195
246.85  1.74568
247.05  1.74934
247.25  1.75291
247.45  1.75639
247.65  1.75981
247.85  1.76319
248.05  1.76656
248.25  1.76996
248.45  1.77343
248.65  1.77701
248.85  1.78076
249.05  1.78471
249.25  1.78889
249.45  1.79333
249.65  1.79804
249.85  1.803
250.05  1.8082
250.25  1.8136
250.45  1.81916
250.65  1.82481
250.85  1.83048
251.05  1.83611
251.25  1.84163
251.45  1.84695
251.65  1.85204
251.85  1.85684
252.05  1.86132
252.25  1.86547
252.45  1.86929
252.65  1.87282
252.85  1.87609
253.05  1.87916
253.25  1.8821
253.45  1.88498
253.65  1.88788
253.85  1.89088
254.05  1.89404
254.25  1.89742
254.45  1.90107
254.65  1.905
254.85  1.90924
255.05  1.91377
255.25  1.91857
255.45  1.9236
255.65  1.92881
255.85  1.93415
256.05  1.93956
256.25  1.94498
256.45  1.95035
256.65  1.95564
256.85  1.96079
257.05  1.9658
257.25  1.97065
257.45  1.97534
257.65  1.9799
257.85  1.98433
258.05  1.98869
258.25  1.993
258.45  1.9973
258.65  2.00164
258.85  2.00605
259.05  2.01055
259.25  2.01517
259.45  2.01993
259.65  2.02482
259.85  2.02986
260.05  2.03503
260.25  2.04032
260.45  2.04572
260.65  2.05121
260.85  2.05679
261.05  2.06244
261.25  2.06816
261.45  2.07395
261.65  2.07981
261.85  2.08575
262.05  2.09178
262.25  2.09791
262.45  2.10415
262.65  2.11052
262.85  2.117
263.05  2.12362
263.25  2.13036
263.45  2.1372
263.65  2.14414
263.85  2.15115
264.05  2.1582
264.25  2.16526
264.45  2.17231
264.65  2.17931
264.85  2.18625
265.05  2.1931
265.25  2.19986
265.45  2.20653
265.65  2.2131
265.85  2.2196
266.05  2.22605
266.25  2.23247
266.45  2.2389
266.65  2.24536
266.85  2.25189
267.05  2.2585
267.25  2.26523
267.45  2.27208
267.65  2.27906
267.85  2.28616
268.05  2.29338
268.25  2.30068
268.45  2.30804
268.65  2.31544
268.85  2.32284
269.05  2.33021
269.25  2.33753
269.45  2.34478
269.65  2.35194
269.85  2.35901
270.05  2.36601
270.25  2.37294
270.45  2.37983
270.65  2.38672
270.85  2.39363
271.05  2.40062
271.25  2.40772
271.45  2.41496
271.65  2.42237
271.85  2.42998
272.05  2.4378
272.25  2.44584
272.45  2.45409
272.65  2.46253
272.85  2.47114
273.05  2.47989
273.25  2.48875
273.45  2.49768
273.65  2.50665
273.85  2.51562
274.05  2.52456
274.25  2.53347
274.45  2.54232
274.65  2.55111
274.85  2.55984
275.05  2.56852
275.25  2.57718
275.45  2.58582
275.65  2.59448
275.85  2.60317
276.05  2.61192
276.25  2.62074
276.45  2.62966
276.65  2.63867
276.85  2.64778
277.05  2.65699
277.25  2.6663
277.45  2.67569
277.65  2.68516
277.85  2.69469
278.05  2.70427
278.25  2.71389
278.45  2.72355
278.65  2.73325
278.85  2.74298
279.05  2.75275
279.25  2.76258
279.45  2.77246
279.65  2.78241
279.85  2.79246
280.05  2.80259
280.25  2.81283
280.45  2.82318
280.65  2.83364
280.85  2.84421
281.05  2.85488
281.25  2.86564
281.45  2.87647
281.65  2.88737
281.85  2.89832
282.05  2.9093
282.25  2.92032
282.45  2.93135
282.65  2.94241
282.85  2.95348
283.05  2.9646
283.25  2.97575
283.45  2.98698
283.65  2.99828
283.85  3.0097
284.05  3.02124
284.25  3.03292
284.45  3.04477
284.65  3.05679
284.85  3.069
285.05  3.08138
285.25  3.09394
285.45  3.10667
285.65  3.11955
285.85  3.13256
286.05  3.14568
286.25  3.1589
286.45  3.1722
286.65  3.18554
286.85  3.19894
287.05  3.21236
287.25  3.22582
287.45  3.2393
287.65  3.25282
287.85  3.26638
288.05  3.27999
288.25  3.29367
288.45  3.30743
288.65  3.32128
288.85  3.33523
289.05  3.3493
289.25  3.36349
289.45  3.3778
289.65  3.39224
289.85  3.4068
290.05  3.42148
290.25  3.43628
290.45  3.45119
290.65  3.46622
290.85  3.48135
291.05  3.49659
291.25  3.51195
291.45  3.52742
291.65  3.54301
291.85  3.55874
292.05  3.5746
292.25  3.59061
292.45  3.60678
292.65  3.6231
292.85  3.63959
293.05  3.65624
293.25  3.67305
293.45  3.69001
293.65  3.70713
293.85  3.72439
294.05  3.74178
294.25  3.75929
294.45  3.77692
294.65  3.79467
294.85  3.81253
295.05  3.83051
295.25  3.84861
295.45  3.86685
295.65  3.88523
295.85  3.90378
296.05  3.92251
296.25  3.94143
296.45  3.96057
296.65  3.97994
296.85  3.99954
297.05  4.01939
297.25  4.03947
297.45  4.0598
297.65  4.08034
297.85  4.10111
298.05  4.12207
298.25  4.1432
298.45  4.16449
298.65  4.18593
298.85  4.20749
299.05  4.22917
299.25  4.25096
299.45  4.27286
299.65  4.29487
299.85  4.31701
300.05  4.33928
300.25  4.36171
300.45  4.38432
300.65  4.40713
300.85  4.43017
301.05  4.45344
301.25  4.47698
301.45  4.50078
301.65  4.52487
301.85  4.54925
302.05  4.57391
302.25  4.59886
302.45  4.62408
302.65  4.64956
302.85  4.6753
303.05  4.70129
303.25  4.7275
303.45  4.75395
303.65  4.78061
303.85  4.80748
304.05  4.83457
304.25  4.86187
304.45  4.8894
304.65  4.91715
304.85  4.94513
305.05  4.97336
305.25  5.00183
305.45  5.03056
305.65  5.05955
305.85  5.08881
306.05  5.11834
306.25  5.14814
306.45  5.17823
306.65  5.20859
306.85  5.23923
307.05  5.27015
307.25  5.30137
307.45  5.33287
307.65  5.36468
307.85  5.3968
308.05  5.42924
308.25  5.462
308.45  5.4951
308.65  5.52854
308.85  5.56233
309.05  5.59647
309.25  5.63098
309.45  5.66584
309.65  5.70106
