# Table format: 1D 
# AnglePCyl 	PCylMoy_Brute 
327.600000 	10.684750 
327.800000 	10.761750 
328.000000 	10.839500 
328.200000 	10.919250 
328.400000 	11.001250 
328.600000 	11.085250 
328.800000 	11.171750 
329.000000 	11.253750 
329.200000 	11.337750 
329.400000 	11.427250 
329.600000 	11.513000 
329.800000 	11.604250 
330.000000 	11.692750 
330.200000 	11.782250 
330.400000 	11.872750 
330.600000 	11.960250 
330.800000 	12.052250 
331.000000 	12.145000 
331.200000 	12.243000 
331.400000 	12.338250 
331.600000 	12.437500 
331.800000 	12.532000 
332.000000 	12.628250 
332.200000 	12.721750 
332.400000 	12.818250 
332.600000 	12.911750 
332.800000 	13.009500 
333.000000 	13.101000 
333.200000 	13.196250 
333.400000 	13.292000 
333.600000 	13.385250 
333.800000 	13.485250 
334.000000 	13.580000 
334.200000 	13.681000 
334.400000 	13.782750 
334.600000 	13.886000 
334.800000 	13.989250 
335.000000 	14.095000 
335.200000 	14.199250 
335.400000 	14.307500 
335.600000 	14.413250 
335.800000 	14.519750 
336.000000 	14.622250 
336.200000 	14.734500 
336.400000 	14.820750 
336.600000 	14.967500 
336.800000 	15.080500 
337.000000 	15.132500 
337.200000 	15.324750 
337.400000 	15.443250 
337.600000 	15.487500 
337.800000 	15.635750 
338.000000 	15.783500 
338.200000 	15.860500 
338.400000 	15.955250 
338.600000 	16.093750 
338.800000 	16.206750 
339.000000 	16.298000 
339.200000 	16.417750 
339.400000 	16.538500 
339.600000 	16.639250 
339.800000 	16.756500 
340.000000 	16.876500 
340.200000 	16.988500 
340.400000 	17.093500 
340.600000 	17.211500 
340.800000 	17.329250 
341.000000 	17.440000 
341.200000 	17.556500 
341.400000 	17.675250 
341.600000 	17.792750 
341.800000 	17.915500 
342.000000 	18.035750 
342.200000 	18.155750 
342.400000 	18.273500 
342.600000 	18.389000 
342.800000 	18.510750 
343.000000 	18.628500 
343.200000 	18.747750 
343.400000 	18.871250 
343.600000 	18.989750 
343.800000 	19.112500 
344.000000 	19.231750 
344.200000 	19.349500 
344.400000 	19.468000 
344.600000 	19.584000 
344.800000 	19.702000 
345.000000 	19.818750 
345.200000 	19.936500 
345.400000 	20.057500 
345.600000 	20.180250 
345.800000 	20.299500 
346.000000 	20.420250 
346.200000 	20.541000 
346.400000 	20.671250 
346.600000 	20.796250 
346.800000 	20.926250 
347.000000 	21.054500 
347.200000 	21.181500 
347.400000 	21.313000 
347.600000 	21.441000 
347.800000 	21.575000 
348.000000 	21.711000 
348.200000 	21.844250 
348.400000 	21.981000 
348.600000 	22.118750 
348.800000 	22.255000 
349.000000 	22.392250 
349.200000 	22.526500 
349.400000 	22.667750 
349.600000 	22.806000 
349.800000 	22.947250 
350.000000 	23.082500 
350.200000 	23.222000 
350.400000 	23.366250 
350.600000 	23.509750 
350.800000 	23.658750 
351.000000 	23.805250 
351.200000 	23.954250 
351.400000 	24.109750 
351.600000 	24.265000 
351.800000 	24.427000 
352.000000 	24.588000 
352.200000 	24.749000 
352.400000 	24.918000 
352.600000 	25.087750 
352.800000 	25.271500 
353.000000 	25.446750 
353.200000 	25.632000 
353.400000 	25.818500 
353.600000 	26.006500 
353.800000 	26.205500 
354.000000 	26.401500 
354.200000 	26.598500 
354.400000 	26.793750 
354.600000 	26.991250 
354.800000 	27.207750 
355.000000 	27.419750 
355.200000 	27.633750 
355.400000 	27.845750 
355.600000 	28.064000 
355.800000 	28.296250 
356.000000 	28.526000 
356.200000 	28.760000 
356.400000 	28.999750 
356.600000 	29.244750 
356.800000 	29.500500 
357.000000 	29.756750 
357.200000 	30.017000 
357.400000 	30.290250 
357.600000 	30.563500 
357.800000 	30.849250 
358.000000 	31.136500 
358.200000 	31.431250 
358.400000 	31.735500 
358.600000 	32.040750 
358.800000 	32.356500 
359.000000 	32.671250 
359.200000 	32.991500 
359.400000 	33.324250 
359.600000 	33.656750 
359.800000 	33.998250 
360.000000 	34.340000 
360.200000 	34.686750 
360.400000 	35.043000 
360.600000 	35.397250 
360.800000 	35.766750 
361.000000 	36.132750 
361.200000 	36.508500 
361.400000 	36.896750 
361.600000 	37.285000 
361.800000 	37.689500 
362.000000 	38.093750 
362.200000 	38.505500 
362.400000 	38.927000 
362.600000 	39.341750 
362.800000 	39.770500 
363.000000 	40.195250 
363.200000 	40.626250 
363.400000 	41.067250 
363.600000 	41.505000 
363.800000 	41.953500 
364.000000 	42.395750 
364.200000 	42.846000 
364.400000 	43.305250 
364.600000 	43.760000 
364.800000 	44.223000 
365.000000 	44.680750 
365.200000 	45.144250 
365.400000 	45.616250 
365.600000 	46.078250 
365.800000 	46.569500 
366.000000 	47.042250 
366.200000 	47.515500 
366.400000 	47.964250 
366.600000 	48.424750 
366.800000 	48.916000 
367.000000 	49.387000 
367.200000 	49.856250 
367.400000 	50.324750 
367.600000 	50.782250 
367.800000 	51.242750 
368.000000 	51.691250 
368.200000 	52.139250 
368.400000 	52.591000 
368.600000 	53.031750 
368.800000 	53.474250 
369.000000 	53.895500 
369.200000 	54.313500 
369.400000 	54.737250 
369.600000 	55.143500 
369.800000 	55.546250 
370.000000 	55.938000 
370.200000 	56.317250 
370.400000 	56.687750 
370.600000 	57.038750 
370.800000 	57.392500 
371.000000 	57.734000 
371.200000 	58.058250 
371.400000 	58.381250 
371.600000 	58.694500 
371.800000 	58.994000 
372.000000 	59.277500 
372.200000 	59.557000 
372.400000 	59.828750 
372.600000 	60.078750 
372.800000 	60.318250 
373.000000 	60.541750 
373.200000 	60.757250 
373.400000 	60.962750 
373.600000 	61.151000 
373.800000 	61.325750 
374.000000 	61.481250 
374.200000 	61.622500 
374.400000 	61.750250 
374.600000 	61.857750 
374.800000 	61.956000 
375.000000 	62.042750 
375.200000 	62.111500 
375.400000 	62.166750 
375.600000 	62.205250 
375.800000 	62.237250 
376.000000 	62.253250 
376.200000 	62.254750 
376.400000 	62.236250 
376.600000 	62.205000 
376.800000 	62.163250 
377.000000 	62.106750 
377.200000 	62.040250 
377.400000 	61.965500 
377.600000 	61.881500 
377.800000 	61.786750 
378.000000 	61.679250 
378.200000 	61.564750 
378.400000 	61.440750 
378.600000 	61.304500 
378.800000 	61.157000 
379.000000 	60.999250 
379.200000 	60.834250 
379.400000 	60.655500 
379.600000 	60.468750 
379.800000 	60.277500 
380.000000 	60.081250 
380.200000 	59.871250 
