# Table format: XY
# axis1_unit = null
# axis2_unit = m
# axis3_unit = m
# axis4_unit = m
# axis5_unit = m
# axis6_unit = m
# axis7_unit = m**3
# axis8_unit = m**2
# axis9_unit = m**2
# axis10_unit = m**2
# axis11_unit = m**2
# axis12_unit = m**2
# axis13_unit = m**2
# axis14_unit = m**2
# S1 wet A : Area of FWD
# S2 wet A : Area of Left
# S3 wet A : Area of AFT
# S4 wet A : Area of Right
# S5 wet A : Area of Top
# S6 wet A : Area of Bottom
#C	COGx        	COGy        	COGz        	hfl/minPt   	hfl/refPt   	vol         	FS area     	S1 wet A    	S2 wet A    	S3 wet A    	S4 wet A    	S5 wet A    	S6 wet A    	zeros
"# Orientation 1 : pitch = -20.0 degree ;   roll = -20.0 degree"														
28	-2.980232E-08	1.309380E-01	-2.634620E-01	3.922800E-02	-2.503860E-01	4.499247E-03	2.293898E-01	4.499248E-03	0.000000E+00	4.499245E-03	3.983312E-02	0.000000E+00	2.259048E-01	0.000000E+00
29	-8.940697E-08	1.675710E-01	-2.767953E-01	1.922800E-02	-2.703860E-01	1.080975E-03	1.124377E-01	1.080976E-03	0.000000E+00	1.080974E-03	1.952460E-02	0.000000E+00	1.107295E-01	0.000000E+00
30	-1.039505E-04	2.027533E-01	-2.896007E-01	0.000000E+00	-2.896140E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
"# Orientation 117 : pitch = 2.0 degree ;   roll = -10.0 degree"														
1	1.823110E-08	9.306000E-09	9.203517E-09	6.137746E-01	3.068873E-01	2.500000E-01	0.000000E+00	2.500000E-01	5.000000E-01	2.500000E-01	5.000000E-01	5.000001E-01	5.000001E-01	0.000000E+00
2	3.105584E-04	1.570079E-04	-2.613870E-04	5.937746E-01	2.868873E-01	2.497764E-01	3.355202E-02	2.488291E-01	4.941773E-01	2.500000E-01	5.000000E-01	4.669779E-01	5.000001E-01	0.000000E+00
3	1.478333E-03	1.062671E-03	-1.992142E-03	5.737746E-01	2.668873E-01	2.482143E-01	1.320259E-01	2.453162E-01	4.770880E-01	2.499239E-01	5.000000E-01	3.700591E-01	5.000001E-01	0.000000E+00
4	2.756256E-03	2.668628E-03	-6.013399E-03	5.537746E-01	2.468873E-01	2.444028E-01	2.491207E-01	2.394615E-01	4.567670E-01	2.481557E-01	5.000000E-01	2.548135E-01	5.000001E-01	0.000000E+00
5	4.044611E-03	4.061678E-03	-1.227050E-02	5.337746E-01	2.268873E-01	2.382495E-01	3.662155E-01	2.312649E-01	4.364461E-01	2.440456E-01	5.000000E-01	1.395679E-01	5.000001E-01	0.000000E+00
6	5.284208E-03	4.231879E-03	-2.066169E-02	5.137746E-01	2.068873E-01	2.298189E-01	4.686312E-01	2.212386E-01	4.161252E-01	2.375936E-01	4.974526E-01	3.876954E-02	5.000001E-01	0.000000E+00
7	5.658943E-03	3.153155E-03	-3.042429E-02	4.937746E-01	1.868873E-01	2.199429E-01	5.077887E-01	2.110782E-01	3.958043E-01	2.287997E-01	4.839272E-01	2.304287E-04	5.000001E-01	0.000000E+00
8	5.634147E-03	1.794497E-03	-4.046494E-02	4.737746E-01	1.668873E-01	2.097826E-01	5.080228E-01	2.009177E-01	3.754834E-01	2.186474E-01	4.636469E-01	0.000000E+00	5.000001E-01	0.000000E+00
9	5.642075E-03	4.769359E-04	-5.050986E-02	4.537746E-01	1.468873E-01	1.996221E-01	5.080228E-01	1.907572E-01	3.551625E-01	2.084870E-01	4.433260E-01	0.000000E+00	5.000001E-01	0.000000E+00
10	5.688268E-03	-7.927027E-04	-6.055961E-02	4.337746E-01	1.268873E-01	1.894617E-01	5.080228E-01	1.805968E-01	3.348416E-01	1.983265E-01	4.230051E-01	0.000000E+00	5.000001E-01	0.000000E+00
11	5.779344E-03	-2.006253E-03	-7.061498E-02	4.137746E-01	1.068873E-01	1.793012E-01	5.080228E-01	1.704363E-01	3.145206E-01	1.881661E-01	4.026841E-01	0.000000E+00	5.000001E-01	0.000000E+00
12	5.923230E-03	-3.153643E-03	-8.067702E-02	3.937746E-01	8.688735E-02	1.691408E-01	5.080228E-01	1.602759E-01	2.941997E-01	1.780056E-01	3.823632E-01	0.000000E+00	5.000001E-01	0.000000E+00
13	6.130177E-03	-4.222175E-03	-9.074697E-02	3.737746E-01	6.688735E-02	1.589803E-01	5.080228E-01	1.501154E-01	2.738788E-01	1.678452E-01	3.620423E-01	0.000000E+00	5.000001E-01	0.000000E+00
14	6.413120E-03	-5.195698E-03	-1.008265E-01	3.537746E-01	4.688735E-02	1.488198E-01	5.080228E-01	1.399550E-01	2.535579E-01	1.576847E-01	3.417214E-01	0.000000E+00	5.000001E-01	0.000000E+00
15	6.788630E-03	-6.053319E-03	-1.109177E-01	3.337746E-01	2.688735E-02	1.386594E-01	5.080228E-01	1.297945E-01	2.332370E-01	1.475242E-01	3.214005E-01	0.000000E+00	5.000001E-01	0.000000E+00
16	7.278818E-03	-6.767532E-03	-1.210233E-01	3.137746E-01	6.887346E-03	1.284989E-01	5.080228E-01	1.196340E-01	2.129161E-01	1.373638E-01	3.010796E-01	0.000000E+00	5.000001E-01	0.000000E+00
17	7.913071E-03	-7.301440E-03	-1.311470E-01	2.937746E-01	-1.311265E-02	1.183385E-01	5.080228E-01	1.094736E-01	1.925952E-01	1.272033E-01	2.807587E-01	0.000000E+00	5.000001E-01	0.000000E+00
18	8.732099E-03	-7.604202E-03	-1.412939E-01	2.737746E-01	-3.311265E-02	1.081780E-01	5.080228E-01	9.931314E-02	1.722743E-01	1.170429E-01	2.604378E-01	0.000000E+00	5.000001E-01	0.000000E+00
19	9.793300E-03	-7.603964E-03	-1.514714E-01	2.537746E-01	-5.311265E-02	9.801755E-02	5.080228E-01	8.915268E-02	1.519533E-01	1.068824E-01	2.401168E-01	0.000000E+00	5.000001E-01	0.000000E+00
20	1.118078E-02	-7.195583E-03	-1.616898E-01	2.337746E-01	-7.311265E-02	8.785710E-02	5.080228E-01	7.899223E-02	1.316324E-01	9.672196E-02	2.197959E-01	0.000000E+00	5.000001E-01	0.000000E+00
21	1.302244E-02	-6.218931E-03	-1.719654E-01	2.137746E-01	-9.311265E-02	7.769664E-02	5.080228E-01	6.883177E-02	1.113115E-01	8.656150E-02	1.994750E-01	0.000000E+00	5.000001E-01	0.000000E+00
22	1.552333E-02	-4.417559E-03	-1.823239E-01	1.937746E-01	-1.131127E-01	6.753619E-02	5.080228E-01	5.867132E-02	9.099063E-02	7.640106E-02	1.791541E-01	0.000000E+00	5.000001E-01	0.000000E+00
23	1.903357E-02	-1.353314E-03	-1.928094E-01	1.737746E-01	-1.331127E-01	5.737573E-02	5.080228E-01	4.851086E-02	7.066970E-02	6.624059E-02	1.588332E-01	0.000000E+00	5.000001E-01	0.000000E+00
24	2.420499E-02	3.789106E-03	-2.035039E-01	1.537746E-01	-1.531127E-01	4.721527E-02	5.080228E-01	3.835040E-02	5.034878E-02	5.608013E-02	1.385123E-01	0.000000E+00	5.000001E-01	0.000000E+00
25	3.240384E-02	1.271922E-02	-2.145792E-01	1.337746E-01	-1.731127E-01	3.705482E-02	5.080228E-01	2.818995E-02	3.002789E-02	4.591969E-02	1.181914E-01	0.000000E+00	5.000001E-01	0.000000E+00
26	4.680701E-02	2.957208E-02	-2.264489E-01	1.137746E-01	-1.931127E-01	2.690812E-02	5.027931E-01	1.821201E-02	1.061455E-02	3.575922E-02	9.787046E-02	0.000000E+00	4.948529E-01	0.000000E+00
27	6.637962E-02	5.831102E-02	-2.394393E-01	9.377465E-02	-2.131127E-01	1.734088E-02	4.427483E-01	1.014709E-02	7.139797E-04	2.559878E-02	7.754957E-02	0.000000E+00	4.357563E-01	0.000000E+00
28	9.129127E-02	9.315900E-02	-2.530517E-01	7.377465E-02	-2.331127E-01	9.584170E-03	3.297674E-01	4.424058E-03	0.000000E+00	1.593277E-02	5.722862E-02	0.000000E+00	3.245596E-01	0.000000E+00
29	1.394578E-01	1.267043E-01	-2.669507E-01	5.377465E-02	-2.531127E-01	4.159775E-03	2.126727E-01	1.042935E-03	0.000000E+00	8.465102E-03	3.690772E-02	0.000000E+00	2.093141E-01	0.000000E+00
30	2.483830E-01	1.563641E-01	-2.815563E-01	3.377465E-02	-2.731127E-01	1.077232E-03	9.568411E-02	0.000000E+00	0.000000E+00	3.339326E-03	1.660525E-02	0.000000E+00	9.417305E-02	0.000000E+00
31	3.912154E-01	1.838557E-01	-2.965564E-01	1.377465E-02	-2.931127E-01	7.307578E-05	1.591534E-02	0.000000E+00	0.000000E+00	5.554372E-04	2.761987E-03	0.000000E+00	1.566401E-02	0.000000E+00
32	4.894453E-01	2.027625E-01	-3.068723E-01	0.000000E+00	-3.068873E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
"# Orientation 118 : pitch = 4.0 degree ;   roll = -10.0 degree"														
1	7.599832E-08	3.910832E-08	1.918283E-08	6.475735E-01	3.237867E-01	2.500000E-01	0.000000E+00	2.500000E-01	5.000001E-01	2.500000E-01	5.000001E-01	5.000001E-01	5.000001E-01	0.000000E+00
2	1.833603E-04	7.880665E-05	-1.387702E-04	6.275735E-01	3.037867E-01	2.498877E-01	1.684776E-02	2.488248E-01	4.970816E-01	2.500000E-01	5.000001E-01	4.834487E-01	5.000001E-01	0.000000E+00
3	1.215534E-03	5.328152E-04	-1.059722E-03	6.075735E-01	2.837867E-01	2.491015E-01	6.739105E-02	2.452991E-01	4.883263E-01	2.500000E-01	5.000001E-01	4.337945E-01	5.000001E-01	0.000000E+00
4	3.268437E-03	1.475552E-03	-3.423299E-03	5.875735E-01	2.637867E-01	2.469675E-01	1.516299E-01	2.394229E-01	4.737340E-01	2.500000E-01	5.000001E-01	3.510376E-01	5.000001E-01	0.000000E+00
5	5.817907E-03	2.730200E-03	-7.793527E-03	5.675735E-01	2.437867E-01	2.428268E-01	2.651446E-01	2.311962E-01	4.540704E-01	2.496917E-01	5.000001E-01	2.395197E-01	5.000001E-01	0.000000E+00
6	8.364515E-03	3.644595E-03	-1.436406E-02	5.475735E-01	2.237867E-01	2.363823E-01	3.751200E-01	2.211456E-01	4.337122E-01	2.473126E-01	4.986925E-01	1.314789E-01	5.000001E-01	0.000000E+00
7	1.032092E-02	3.719369E-03	-2.269637E-02	5.275735E-01	2.037867E-01	2.280426E-01	4.532414E-01	2.109665E-01	4.133541E-01	2.425831E-01	4.918669E-01	5.473170E-02	5.000001E-01	0.000000E+00
8	1.120080E-02	2.951512E-03	-3.216753E-02	5.075735E-01	1.837867E-01	2.184773E-01	4.976674E-01	2.007875E-01	3.929960E-01	2.355030E-01	4.792045E-01	1.108721E-02	5.000001E-01	0.000000E+00
9	1.128544E-02	1.673082E-03	-4.216647E-02	4.875735E-01	1.637867E-01	2.083598E-01	5.089532E-01	1.906084E-01	3.726379E-01	2.261112E-01	4.608014E-01	0.000000E+00	5.000001E-01	0.000000E+00
10	1.131274E-02	3.628228E-04	-5.223113E-02	4.675735E-01	1.437867E-01	1.981808E-01	5.089532E-01	1.804293E-01	3.522797E-01	2.159321E-01	4.404432E-01	0.000000E+00	5.000001E-01	0.000000E+00
11	1.141878E-02	-8.979049E-04	-6.230278E-02	4.475735E-01	1.237867E-01	1.880017E-01	5.089532E-01	1.702503E-01	3.319216E-01	2.057531E-01	4.200851E-01	0.000000E+00	5.000001E-01	0.000000E+00
12	1.161690E-02	-2.100607E-03	-7.238264E-02	4.275735E-01	1.037867E-01	1.778226E-01	5.089532E-01	1.600712E-01	3.115635E-01	1.955740E-01	3.997270E-01	0.000000E+00	5.000001E-01	0.000000E+00
13	1.192404E-02	-3.234735E-03	-8.247219E-02	4.075735E-01	8.378674E-02	1.676436E-01	5.089532E-01	1.498922E-01	2.912054E-01	1.853949E-01	3.793689E-01	0.000000E+00	5.000001E-01	0.000000E+00
14	1.236136E-02	-4.286936E-03	-9.257332E-02	3.875735E-01	6.378674E-02	1.574645E-01	5.089532E-01	1.397131E-01	2.708472E-01	1.752159E-01	3.590107E-01	0.000000E+00	5.000001E-01	0.000000E+00
15	1.295574E-02	-5.240252E-03	-1.026884E-01	3.675735E-01	4.378674E-02	1.472854E-01	5.089532E-01	1.295340E-01	2.504891E-01	1.650368E-01	3.386526E-01	0.000000E+00	5.000001E-01	0.000000E+00
16	1.374217E-02	-6.072691E-03	-1.128206E-01	3.475735E-01	2.378674E-02	1.371064E-01	5.089532E-01	1.193550E-01	2.301310E-01	1.548577E-01	3.182945E-01	0.000000E+00	5.000001E-01	0.000000E+00
17	1.476689E-02	-6.755134E-03	-1.229740E-01	3.275735E-01	3.786741E-03	1.269273E-01	5.089532E-01	1.091759E-01	2.097729E-01	1.446787E-01	2.979364E-01	0.000000E+00	5.000001E-01	0.000000E+00
18	1.609232E-02	-7.248363E-03	-1.331542E-01	3.075735E-01	-1.621326E-02	1.167482E-01	5.089532E-01	9.899685E-02	1.894147E-01	1.344996E-01	2.775782E-01	0.000000E+00	5.000001E-01	0.000000E+00
19	1.780446E-02	-7.498106E-03	-1.433688E-01	2.875735E-01	-3.621326E-02	1.065692E-01	5.089532E-01	8.881778E-02	1.690566E-01	1.243206E-01	2.572201E-01	0.000000E+00	5.000001E-01	0.000000E+00
20	2.002587E-02	-7.427325E-03	-1.536287E-01	2.675735E-01	-5.621326E-02	9.639012E-02	5.089532E-01	7.863873E-02	1.486985E-01	1.141415E-01	2.368620E-01	0.000000E+00	5.000001E-01	0.000000E+00
21	2.293708E-02	-6.922415E-03	-1.639500E-01	2.475735E-01	-7.621326E-02	8.621105E-02	5.089532E-01	6.845966E-02	1.283403E-01	1.039624E-01	2.165038E-01	0.000000E+00	5.000001E-01	0.000000E+00
22	2.681489E-02	-5.809030E-03	-1.743572E-01	2.275735E-01	-9.621326E-02	7.603200E-02	5.089532E-01	5.828061E-02	1.079822E-01	9.378338E-02	1.961457E-01	0.000000E+00	5.000001E-01	0.000000E+00
23	3.210779E-02	-3.805002E-03	-1.848904E-01	2.075735E-01	-1.162133E-01	6.585293E-02	5.089532E-01	4.810154E-02	8.762410E-02	8.360431E-02	1.757876E-01	0.000000E+00	5.000001E-01	0.000000E+00
24	3.959181E-02	-4.218128E-04	-1.956186E-01	1.875735E-01	-1.362133E-01	5.567386E-02	5.089532E-01	3.792247E-02	6.726596E-02	7.342524E-02	1.554295E-01	0.000000E+00	5.000001E-01	0.000000E+00
25	5.073770E-02	5.266229E-03	-2.066726E-01	1.675735E-01	-1.562133E-01	4.549481E-02	5.089532E-01	2.774342E-02	4.690785E-02	6.324619E-02	1.350714E-01	0.000000E+00	5.000001E-01	0.000000E+00
26	6.856300E-02	1.517300E-02	-2.183223E-01	1.475735E-01	-1.762133E-01	3.532529E-02	5.056947E-01	1.779165E-02	2.711416E-02	5.306712E-02	1.147132E-01	0.000000E+00	4.967990E-01	0.000000E+00
27	9.506090E-02	3.101016E-02	-2.307846E-01	1.275735E-01	-1.962133E-01	2.547191E-02	4.740285E-01	9.821520E-03	1.224145E-02	4.288807E-02	9.435512E-02	0.000000E+00	4.656897E-01	0.000000E+00
28	1.296681E-01	5.316249E-02	-2.440736E-01	1.075735E-01	-2.162133E-01	1.658878E-02	4.086665E-01	4.201857E-03	3.205623E-03	3.270898E-02	7.399695E-02	0.000000E+00	4.014776E-01	0.000000E+00
29	1.749262E-01	8.137772E-02	-2.582547E-01	8.757349E-02	-2.362133E-01	9.349874E-03	3.096092E-01	9.326909E-04	6.736771E-06	2.252993E-02	5.363885E-02	0.000000E+00	3.041628E-01	0.000000E+00
30	2.393556E-01	1.097349E-01	-2.731066E-01	6.757349E-02	-2.562133E-01	4.332023E-03	1.923249E-01	0.000000E+00	0.000000E+00	1.341590E-02	3.331551E-02	0.000000E+00	1.889416E-01	0.000000E+00
31	3.101598E-01	1.372768E-01	-2.881066E-01	4.757349E-02	-2.762133E-01	1.511666E-03	9.532617E-02	0.000000E+00	0.000000E+00	6.649616E-03	1.651289E-02	0.000000E+00	9.364927E-02	0.000000E+00
32	3.809639E-01	1.648187E-01	-3.031066E-01	2.757349E-02	-2.962133E-01	2.943315E-04	3.202330E-02	0.000000E+00	0.000000E+00	2.233832E-03	5.547242E-03	0.000000E+00	3.145997E-02	0.000000E+00
33	4.517679E-01	1.923605E-01	-3.181066E-01	7.573486E-03	-3.162133E-01	6.098938E-06	2.415893E-03	0.000000E+00	0.000000E+00	1.685242E-04	4.184936E-04	0.000000E+00	2.373395E-03	0.000000E+00
34	4.785088E-01	2.027624E-01	-3.237717E-01	0.000000E+00	-3.237867E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
"# Orientation 119 : pitch = 6.0 degree ;   roll = -10.0 degree"														
1	4.313634E-08	3.910832E-08	4.908776E-09	6.805834E-01	3.402917E-01	2.500000E-01	0.000000E+00	2.500000E-01	5.000001E-01	2.500000E-01	5.000001E-01	5.000001E-01	5.000001E-01	0.000000E+00
2	1.269414E-04	5.287863E-05	-9.814904E-05	6.605834E-01	3.202917E-01	2.499246E-01	1.131215E-02	2.488176E-01	4.980465E-01	2.500000E-01	5.000001E-01	4.889208E-01	5.000001E-01	0.000000E+00
3	9.046628E-04	3.569517E-04	-7.506262E-04	6.405834E-01	3.002917E-01	2.493967E-01	4.524859E-02	2.452703E-01	4.921858E-01	2.500000E-01	5.000001E-01	4.556830E-01	5.000001E-01	0.000000E+00
4	2.688749E-03	9.847078E-04	-2.424816E-03	6.205834E-01	2.802917E-01	2.479639E-01	1.018093E-01	2.393581E-01	4.824179E-01	2.500000E-01	5.000001E-01	4.002867E-01	5.000001E-01	0.000000E+00
5	5.529983E-03	1.816759E-03	-5.517850E-03	6.005834E-01	2.602917E-01	2.451735E-01	1.809943E-01	2.310810E-01	4.687429E-01	2.500000E-01	5.000001E-01	3.227319E-01	5.000001E-01	0.000000E+00
6	9.139104E-03	2.564171E-03	-1.037004E-02	5.805834E-01	2.402917E-01	2.405973E-01	2.775332E-01	2.209899E-01	4.511607E-01	2.500000E-01	4.990899E-01	2.281805E-01	5.000001E-01	0.000000E+00
7	1.254557E-02	3.065566E-03	-1.703143E-02	5.605834E-01	2.202917E-01	2.341047E-01	3.684425E-01	2.107797E-01	4.308405E-01	2.492924E-01	4.944694E-01	1.391428E-01	5.000001E-01	0.000000E+00
8	1.504986E-02	3.133306E-03	-2.516353E-02	5.405834E-01	2.002917E-01	2.260095E-01	4.373074E-01	2.005695E-01	4.104201E-01	2.462806E-01	4.859417E-01	7.169564E-02	5.000001E-01	0.000000E+00
9	1.646952E-02	2.617786E-03	-3.434689E-02	5.205834E-01	1.802917E-01	2.167633E-01	4.835479E-01	1.903593E-01	3.899997E-01	2.409038E-01	4.735070E-01	2.640702E-02	5.000001E-01	0.000000E+00
10	1.694821E-02	1.568386E-03	-4.418310E-02	5.005834E-01	1.602917E-01	2.068184E-01	5.071642E-01	1.801491E-01	3.695793E-01	2.331622E-01	4.571650E-01	3.276903E-03	5.000001E-01	0.000000E+00
11	1.703738E-02	2.829526E-04	-5.426944E-02	4.805834E-01	1.402917E-01	1.966203E-01	5.105100E-01	1.699389E-01	3.491589E-01	2.233017E-01	4.373224E-01	0.000000E+00	5.000001E-01	0.000000E+00
12	1.722048E-02	-9.668078E-04	-6.437836E-02	4.605834E-01	1.202917E-01	1.864101E-01	5.105100E-01	1.597287E-01	3.287385E-01	2.130915E-01	4.169020E-01	0.000000E+00	5.000001E-01	0.000000E+00
13	1.754664E-02	-2.155950E-03	-7.449991E-02	4.405834E-01	1.002917E-01	1.762000E-01	5.105100E-01	1.495185E-01	3.083181E-01	2.028813E-01	3.964816E-01	0.000000E+00	5.000001E-01	0.000000E+00
14	1.804219E-02	-3.273269E-03	-8.463641E-02	4.205834E-01	8.029169E-02	1.659898E-01	5.105100E-01	1.393083E-01	2.878977E-01	1.926712E-01	3.760612E-01	0.000000E+00	5.000001E-01	0.000000E+00
15	1.874052E-02	-4.304638E-03	-9.479080E-02	4.005834E-01	6.029169E-02	1.557795E-01	5.105100E-01	1.290981E-01	2.674773E-01	1.824609E-01	3.556408E-01	0.000000E+00	5.000001E-01	0.000000E+00
16	1.968418E-02	-5.231997E-03	-1.049669E-01	3.805834E-01	4.029169E-02	1.455693E-01	5.105100E-01	1.188879E-01	2.470569E-01	1.722507E-01	3.352204E-01	0.000000E+00	5.000001E-01	0.000000E+00
17	2.092884E-02	-6.031742E-03	-1.151695E-01	3.605834E-01	2.029169E-02	1.353592E-01	5.105100E-01	1.086777E-01	2.266365E-01	1.620406E-01	3.148000E-01	0.000000E+00	5.000001E-01	0.000000E+00
18	2.254806E-02	-6.672731E-03	-1.254051E-01	3.405834E-01	2.916897E-04	1.251489E-01	5.105100E-01	9.846752E-02	2.062161E-01	1.518303E-01	2.943796E-01	0.000000E+00	5.000001E-01	0.000000E+00
19	2.464168E-02	-7.112583E-03	-1.356827E-01	3.205834E-01	-1.970831E-02	1.149387E-01	5.105100E-01	8.825732E-02	1.857957E-01	1.416201E-01	2.739592E-01	0.000000E+00	5.000001E-01	0.000000E+00
20	2.734844E-02	-7.292470E-03	-1.460143E-01	3.005834E-01	-3.970831E-02	1.047285E-01	5.105100E-01	7.804713E-02	1.653753E-01	1.314100E-01	2.535388E-01	0.000000E+00	5.000001E-01	0.000000E+00
21	3.086708E-02	-7.128200E-03	-1.564177E-01	2.805834E-01	-5.970831E-02	9.451834E-02	5.105100E-01	6.783692E-02	1.449549E-01	1.211997E-01	2.331184E-01	0.000000E+00	5.000001E-01	0.000000E+00
22	3.549252E-02	-6.494721E-03	-1.669187E-01	2.605834E-01	-7.970831E-02	8.430815E-02	5.105100E-01	5.762673E-02	1.245345E-01	1.109896E-01	2.126980E-01	0.000000E+00	5.000001E-01	0.000000E+00
23	4.168241E-02	-5.198022E-03	-1.775577E-01	2.405834E-01	-9.970831E-02	7.409794E-02	5.105100E-01	4.741653E-02	1.041141E-01	1.007794E-01	1.922776E-01	0.000000E+00	5.000001E-01	0.000000E+00
24	5.018662E-02	-2.920171E-03	-1.884011E-01	2.205834E-01	-1.197083E-01	6.388774E-02	5.105100E-01	3.720632E-02	8.369371E-02	9.056915E-02	1.718572E-01	0.000000E+00	5.000001E-01	0.000000E+00
25	6.232600E-02	8.986983E-04	-1.995652E-01	2.005834E-01	-1.397083E-01	5.367755E-02	5.105100E-01	2.699613E-02	6.327333E-02	8.035896E-02	1.514368E-01	0.000000E+00	5.000001E-01	0.000000E+00
26	8.052598E-02	7.277707E-03	-2.112635E-01	1.805834E-01	-1.597083E-01	4.347762E-02	5.075135E-01	1.709915E-02	4.337041E-02	7.014875E-02	1.310164E-01	0.000000E+00	4.970653E-01	0.000000E+00
27	1.065322E-01	1.675252E-02	-2.236322E-01	1.605834E-01	-1.797083E-01	3.351922E-02	4.845572E-01	9.288543E-03	2.691451E-02	5.993856E-02	1.105961E-01	0.000000E+00	4.745816E-01	0.000000E+00
28	1.406576E-01	2.911315E-02	-2.366693E-01	1.405834E-01	-1.997083E-01	2.424616E-02	4.389765E-01	3.842807E-03	1.436572E-02	4.972834E-02	9.017561E-02	0.000000E+00	4.299392E-01	0.000000E+00
29	1.833973E-01	4.463793E-02	-2.504242E-01	1.205834E-01	-2.197083E-01	1.611098E-02	3.707716E-01	7.619679E-04	5.724116E-03	3.951815E-02	6.975523E-02	0.000000E+00	3.631385E-01	0.000000E+00
30	2.324304E-01	6.491418E-02	-2.649155E-01	1.005834E-01	-2.397083E-01	9.565555E-03	2.803826E-01	0.000000E+00	9.896491E-04	2.930796E-02	4.941086E-02	0.000000E+00	2.746103E-01	0.000000E+00
31	2.795480E-01	9.147967E-02	-2.798542E-01	8.058340E-02	-2.597083E-01	4.932876E-03	1.836437E-01	0.000000E+00	0.000000E+00	1.919599E-02	3.171470E-02	0.000000E+00	1.798630E-01	0.000000E+00
32	3.260688E-01	1.191058E-01	-2.948541E-01	6.058340E-02	-2.797083E-01	2.096161E-03	1.037988E-01	0.000000E+00	0.000000E+00	1.084993E-02	1.792573E-02	0.000000E+00	1.016619E-01	0.000000E+00
33	3.725895E-01	1.467318E-01	-3.098541E-01	4.058340E-02	-2.997083E-01	6.301001E-04	4.657815E-02	0.000000E+00	0.000000E+00	4.868742E-03	8.043904E-03	0.000000E+00	4.561924E-02	0.000000E+00
34	4.191104E-01	1.743580E-01	-3.248542E-01	2.058340E-02	-3.197083E-01	8.220790E-05	1.198169E-02	0.000000E+00	0.000000E+00	1.252428E-03	2.069202E-03	0.000000E+00	1.173503E-02	0.000000E+00
35	4.656311E-01	2.019841E-01	-3.398541E-01	5.833967E-04	-3.397083E-01	1.871758E-09	9.625183E-06	0.000000E+00	0.000000E+00	1.006105E-06	1.662239E-06	0.000000E+00	9.427028E-06	0.000000E+00
36	4.669416E-01	2.027623E-01	-3.402767E-01	0.000000E+00	-3.402917E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
"# Orientation 120 : pitch = 8.0 degree ;   roll = -10.0 degree"														
1	4.138556E-08	3.910832E-08	1.181771E-08	7.127641E-01	3.563821E-01	2.500000E-01	0.000000E+00	2.500000E-01	5.000001E-01	2.500000E-01	5.000001E-01	5.000001E-01	5.000001E-01	0.000000E+00
2	9.618368E-05	4.003382E-05	-7.802556E-05	6.927641E-01	3.363821E-01	2.499429E-01	8.569343E-03	2.488074E-01	4.985265E-01	2.500000E-01	5.000001E-01	4.916430E-01	5.000001E-01	0.000000E+00
3	7.078465E-04	2.698097E-04	-5.977483E-04	6.727641E-01	3.163821E-01	2.495430E-01	3.427737E-02	2.452296E-01	4.941058E-01	2.500000E-01	5.000001E-01	4.665720E-01	5.000001E-01	0.000000E+00
4	2.187234E-03	7.422659E-04	-1.933116E-03	6.527641E-01	2.963821E-01	2.484576E-01	7.712407E-02	2.392665E-01	4.867379E-01	2.500000E-01	5.000001E-01	4.247869E-01	5.000001E-01	0.000000E+00
5	4.721921E-03	1.362691E-03	-4.398915E-03	6.327641E-01	2.763821E-01	2.463438E-01	1.371095E-01	2.309181E-01	4.764230E-01	2.500000E-01	5.000001E-01	3.662877E-01	5.000001E-01	0.000000E+00
6	8.313399E-03	1.908759E-03	-8.252125E-03	6.127641E-01	2.563821E-01	2.428786E-01	2.100220E-01	2.207706E-01	4.631608E-01	2.500000E-01	4.992759E-01	2.951816E-01	5.000001E-01	0.000000E+00
7	1.247172E-02	2.281705E-03	-1.352540E-02	5.927641E-01	2.363821E-01	2.379414E-01	2.837005E-01	2.105166E-01	4.469516E-01	2.500000E-01	4.957362E-01	2.233287E-01	5.000001E-01	0.000000E+00
8	1.642786E-02	2.498457E-03	-2.015753E-02	5.727641E-01	2.163821E-01	2.315306E-01	3.573643E-01	2.002625E-01	4.277977E-01	2.499980E-01	4.892494E-01	1.514900E-01	5.000001E-01	0.000000E+00
9	1.948253E-02	2.522418E-03	-2.806667E-02	5.527641E-01	1.963821E-01	2.237108E-01	4.217648E-01	1.900085E-01	4.072896E-01	2.487068E-01	4.798155E-01	8.868506E-02	5.000001E-01	0.000000E+00
10	2.146570E-02	2.180198E-03	-3.698227E-02	5.327641E-01	1.763821E-01	2.147743E-01	4.690267E-01	1.797544E-01	3.867815E-01	2.450303E-01	4.674345E-01	4.259418E-02	5.000001E-01	0.000000E+00
11	2.247707E-02	1.388500E-03	-4.660722E-02	5.127641E-01	1.563821E-01	2.050639E-01	4.991498E-01	1.695003E-01	3.662733E-01	2.389686E-01	4.521063E-01	1.321737E-02	5.000001E-01	0.000000E+00
