# Table format: XY
# axis1_unit = null
# axis2_unit = m
# axis3_unit = m
# axis4_unit = m
# axis5_unit = m
# axis6_unit = m
# axis7_unit = m**3
# axis8_unit = m**2
#C	COGx        	COGy        	COGz        	hfl/minPt   	hfl/refPt   	vol         	FS area     
# Orientation 1 : pitch = -20.0 degree ;   roll = -20.0 degree
28	5.789865E-05	-1.470415E-04	-1.191069E-01	1.006436E+00	2.332182E-01	7.608859E-01	1.054016E+00
29	1.657896E-03	-1.820978E-03	-1.289747E-01	9.864363E-01	2.132182E-01	7.395650E-01	1.077385E+00
30	3.402434E-03	-3.654119E-03	-1.390379E-01	9.664363E-01	1.932182E-01	7.178180E-01	1.096633E+00
31	5.262248E-03	-5.616304E-03	-1.492695E-01	9.464363E-01	1.732182E-01	6.957272E-01	1.111760E+00
32	7.198744E-03	-7.666525E-03	-1.596417E-01	9.264363E-01	1.532182E-01	6.733751E-01	1.122765E+00
33	9.162180E-03	-9.751198E-03	-1.701258E-01	9.064363E-01	1.332182E-01	6.508441E-01	1.129650E+00
34	1.108953E-02	-1.180124E-02	-1.806915E-01	8.864363E-01	1.132182E-01	6.282165E-01	1.132414E+00
35	1.290938E-02	-1.373785E-02	-1.913103E-01	8.664363E-01	9.321819E-02	6.055671E-01	1.132474E+00
36	1.458784E-02	-1.552409E-02	-2.019772E-01	8.464363E-01	7.321819E-02	5.829177E-01	1.132474E+00
37	1.610776E-02	-1.714152E-02	-2.126981E-01	8.264363E-01	5.321819E-02	5.602681E-01	1.132474E+00
38	1.744907E-02	-1.856893E-02	-2.234796E-01	8.064363E-01	3.321819E-02	5.376187E-01	1.132474E+00
39	1.858821E-02	-1.978117E-02	-2.343299E-01	7.864363E-01	1.321819E-02	5.149692E-01	1.132474E+00
40	1.949724E-02	-2.074855E-02	-2.452585E-01	7.664363E-01	-6.781806E-03	4.923197E-01	1.132474E+00
41	2.014294E-02	-2.143567E-02	-2.562766E-01	7.464363E-01	-2.678181E-02	4.696702E-01	1.132474E+00
42	2.048522E-02	-2.179992E-02	-2.673979E-01	7.264363E-01	-4.678181E-02	4.470207E-01	1.132474E+00
43	2.047553E-02	-2.178961E-02	-2.786388E-01	7.064363E-01	-6.678181E-02	4.243713E-01	1.132474E+00
44	2.005430E-02	-2.134132E-02	-2.900197E-01	6.864363E-01	-8.678181E-02	4.017217E-01	1.132474E+00
45	1.914781E-02	-2.037668E-02	-3.015656E-01	6.664363E-01	-1.067818E-01	3.790723E-01	1.132474E+00
46	1.767641E-02	-1.881158E-02	-3.133035E-01	6.464363E-01	-1.267818E-01	3.564312E-01	1.130990E+00
47	1.562371E-02	-1.663381E-02	-3.252381E-01	6.264363E-01	-1.467818E-01	3.338601E-01	1.125431E+00
48	1.299822E-02	-1.385951E-02	-3.373652E-01	6.064363E-01	-1.667818E-01	3.114414E-01	1.115751E+00
49	9.804003E-03	-1.049995E-02	-3.496823E-01	5.864363E-01	-1.867818E-01	2.892576E-01	1.101950E+00
50	6.040774E-03	-6.561395E-03	-3.621885E-01	5.664363E-01	-2.067818E-01	2.673909E-01	1.084029E+00
51	1.703523E-03	-2.044913E-03	-3.748842E-01	5.464363E-01	-2.267818E-01	2.459239E-01	1.061986E+00
52	-3.217287E-03	3.054443E-03	-3.877718E-01	5.264363E-01	-2.467818E-01	2.249389E-01	1.035823E+00
53	-8.735873E-03	8.748058E-03	-4.008557E-01	5.064363E-01	-2.667818E-01	2.045185E-01	1.005538E+00
54	-1.487038E-02	1.505441E-02	-4.141417E-01	4.864363E-01	-2.867818E-01	1.847449E-01	9.711328E-01
55	-2.164198E-02	2.200014E-02	-4.276379E-01	4.664363E-01	-3.067818E-01	1.657006E-01	9.326061E-01
56	-2.907205E-02	2.962011E-02	-4.413535E-01	4.464363E-01	-3.267818E-01	1.474681E-01	8.899587E-01
57	-3.717718E-02	3.795779E-02	-4.552984E-01	4.264363E-01	-3.467818E-01	1.301297E-01	8.431904E-01
58	-4.595936E-02	4.706353E-02	-4.694817E-01	4.064363E-01	-3.667818E-01	1.137679E-01	7.923011E-01
59	-5.538703E-02	5.698943E-02	-4.839071E-01	3.864363E-01	-3.867818E-01	9.846517E-02	7.372908E-01
60	-6.536029E-02	6.777746E-02	-4.985658E-01	3.664363E-01	-4.067818E-01	8.430381E-02	6.781596E-01
61	-7.564644E-02	7.943213E-02	-5.134215E-01	3.464363E-01	-4.267818E-01	7.136621E-02	6.149070E-01
62	-8.584700E-02	9.183961E-02	-5.283913E-01	3.264363E-01	-4.467818E-01	5.972844E-02	5.487849E-01
63	-9.594572E-02	1.045193E-01	-5.433909E-01	3.064363E-01	-4.667818E-01	4.940924E-02	4.837147E-01
64	-1.060434E-01	1.172016E-01	-5.583909E-01	2.864363E-01	-4.867818E-01	4.035262E-02	4.226346E-01
65	-1.161411E-01	1.298840E-01	-5.733909E-01	2.664363E-01	-5.067818E-01	3.247640E-02	3.656754E-01
66	-1.262387E-01	1.425664E-01	-5.883909E-01	2.464363E-01	-5.267818E-01	2.569814E-02	3.128372E-01
67	-1.363365E-01	1.552488E-01	-6.033910E-01	2.264363E-01	-5.467818E-01	1.993542E-02	2.641197E-01
68	-1.464342E-01	1.679311E-01	-6.183909E-01	2.064363E-01	-5.667818E-01	1.510586E-02	2.195234E-01
69	-1.565318E-01	1.806135E-01	-6.333910E-01	1.864363E-01	-5.867818E-01	1.112701E-02	1.790481E-01
70	-1.666295E-01	1.932959E-01	-6.483909E-01	1.664363E-01	-6.067818E-01	7.916468E-03	1.426937E-01
71	-1.767272E-01	2.059783E-01	-6.633909E-01	1.464363E-01	-6.267818E-01	5.391798E-03	1.104603E-01
72	-1.868248E-01	2.186606E-01	-6.783909E-01	1.264363E-01	-6.467818E-01	3.470586E-03	8.234789E-02
73	-1.969226E-01	2.313430E-01	-6.933910E-01	1.064363E-01	-6.667818E-01	2.070406E-03	5.835628E-02
74	-2.070202E-01	2.440254E-01	-7.083910E-01	8.643627E-02	-6.867818E-01	1.108855E-03	3.848578E-02
75	-2.171179E-01	2.567078E-01	-7.233909E-01	6.643627E-02	-7.067818E-01	5.035033E-04	2.273624E-02
76	-2.272156E-01	2.693902E-01	-7.383909E-01	4.643627E-02	-7.267818E-01	1.719327E-04	1.110767E-02
77	-2.373133E-01	2.820725E-01	-7.533909E-01	2.643627E-02	-7.467818E-01	3.172393E-05	3.600050E-03
78	-2.474110E-01	2.947549E-01	-7.683909E-01	6.436274E-03	-7.667818E-01	4.578132E-07	2.133910E-04
79	-2.506505E-01	2.988236E-01	-7.732031E-01	0.000000E+00	-7.732181E-01	0.000000E+00	0.000000E+00
# Orientation 2 : pitch = -18.0 degree ;   roll = -20.0 degree
1	1.201079E-08	3.175230E-09	-2.572133E-09	1.527998E+00	7.639991E-01	1.000000E+00	0.000000E+00
2	-3.921896E-06	4.235105E-06	-1.111884E-05	1.507998E+00	7.439991E-01	9.999852E-01	2.226369E-03
3	-3.005853E-05	3.248771E-05	-8.717437E-05	1.487998E+00	7.239991E-01	9.998813E-01	8.905479E-03
4	-9.663692E-05	1.047285E-04	-2.882506E-04	1.467998E+00	7.039991E-01	9.995993E-01	2.003733E-02
5	-2.176642E-04	2.364548E-04	-6.693627E-04	1.447998E+00	6.839991E-01	9.990501E-01	3.562192E-02
6	-4.029452E-04	4.389914E-04	-1.280668E-03	1.427998E+00	6.639991E-01	9.981447E-01	5.565926E-02
7	-6.582319E-04	7.193120E-04	-2.167764E-03	1.407998E+00	6.439991E-01	9.967941E-01	8.014933E-02
8	-9.851038E-04	1.080278E-03	-3.372106E-03	1.387998E+00	6.239991E-01	9.949091E-01	1.090922E-01
9	-1.381236E-03	1.520696E-03	-4.931452E-03	1.367998E+00	6.039991E-01	9.924007E-01	1.424877E-01
10	-1.840281E-03	2.035204E-03	-6.880316E-03	1.347998E+00	5.839991E-01	9.891799E-01	1.803360E-01
11	-2.351808E-03	2.614382E-03	-9.250554E-03	1.327998E+00	5.639991E-01	9.851576E-01	2.226371E-01
12	-2.901304E-03	3.244642E-03	-1.207191E-02	1.307998E+00	5.439991E-01	9.802447E-01	2.693908E-01
13	-3.469932E-03	3.908041E-03	-1.537255E-02	1.287998E+00	5.239991E-01	9.743522E-01	3.205974E-01
14	-4.034269E-03	4.582110E-03	-1.917988E-02	1.267998E+00	5.039991E-01	9.673911E-01	3.762566E-01
15	-4.565942E-03	5.239371E-03	-2.352110E-02	1.247998E+00	4.839991E-01	9.592723E-01	4.363687E-01
16	-5.031127E-03	5.846921E-03	-2.842412E-02	1.227998E+00	4.639991E-01	9.499067E-01	5.009334E-01
17	-5.391496E-03	6.364945E-03	-3.391719E-02	1.207998E+00	4.439991E-01	9.392077E-01	5.692795E-01
18	-5.632985E-03	6.736759E-03	-4.000518E-02	1.187998E+00	4.239991E-01	9.271401E-01	6.368722E-01
19	-5.746621E-03	6.926480E-03	-4.664967E-02	1.167998E+00	4.039991E-01	9.137622E-01	7.001674E-01
20	-5.714673E-03	6.918732E-03	-5.380205E-02	1.147998E+00	3.839991E-01	8.991631E-01	7.590098E-01
21	-5.521792E-03	6.700996E-03	-6.141797E-02	1.127998E+00	3.639991E-01	8.834315E-01	8.133995E-01
22	-5.155313E-03	6.263200E-03	-6.945673E-02	1.107998E+00	3.439991E-01	8.666568E-01	8.633364E-01
23	-4.605579E-03	5.598310E-03	-7.788071E-02	1.087998E+00	3.239991E-01	8.489278E-01	9.088206E-01
24	-3.866213E-03	4.702869E-03	-8.665467E-02	1.067998E+00	3.039991E-01	8.303336E-01	9.498521E-01
25	-2.934772E-03	3.577414E-03	-9.574527E-02	1.047998E+00	2.839991E-01	8.109634E-01	9.864307E-01
26	-1.813131E-03	2.227310E-03	-1.051206E-01	1.027998E+00	2.639991E-01	7.909061E-01	1.018557E+00
27	-5.086242E-04	6.634625E-04	-1.147496E-01	1.007998E+00	2.439991E-01	7.702508E-01	1.046230E+00
28	9.653390E-04	-1.096126E-03	-1.246020E-01	9.879982E-01	2.239991E-01	7.490865E-01	1.069450E+00
29	2.587748E-03	-3.025469E-03	-1.346470E-01	9.679982E-01	2.039991E-01	7.275025E-01	1.088218E+00
30	4.328710E-03	-5.088743E-03	-1.448538E-01	9.479982E-01	1.839991E-01	7.055875E-01	1.102533E+00
31	6.147784E-03	-7.238325E-03	-1.551904E-01	9.279982E-01	1.639991E-01	6.834308E-01	1.112395E+00
32	7.991624E-03	-9.412584E-03	-1.656237E-01	9.079982E-01	1.439991E-01	6.611214E-01	1.117805E+00
33	9.792221E-03	-1.153356E-02	-1.761186E-01	8.879982E-01	1.239991E-01	6.387480E-01	1.118943E+00
34	1.149259E-02	-1.353633E-02	-1.866520E-01	8.679982E-01	1.039991E-01	6.163691E-01	1.118943E+00
35	1.307629E-02	-1.540166E-02	-1.972257E-01	8.479982E-01	8.399910E-02	5.939902E-01	1.118943E+00
36	1.452954E-02	-1.711338E-02	-2.078443E-01	8.279982E-01	6.399910E-02	5.716114E-01	1.118943E+00
37	1.583646E-02	-1.865267E-02	-2.185133E-01	8.079982E-01	4.399910E-02	5.492325E-01	1.118943E+00
38	1.697837E-02	-1.999765E-02	-2.292391E-01	7.879982E-01	2.399910E-02	5.268537E-01	1.118943E+00
39	1.793332E-02	-2.112245E-02	-2.400293E-01	7.679982E-01	3.999099E-03	5.044748E-01	1.118943E+00
40	1.867528E-02	-2.199632E-02	-2.508929E-01	7.479982E-01	-1.600090E-02	4.820960E-01	1.118943E+00
41	1.917313E-02	-2.258271E-02	-2.618405E-01	7.279982E-01	-3.600090E-02	4.597171E-01	1.118943E+00
42	1.938940E-02	-2.283746E-02	-2.728852E-01	7.079982E-01	-5.600090E-02	4.373383E-01	1.118943E+00
43	1.927854E-02	-2.270686E-02	-2.840425E-01	6.879982E-01	-7.600090E-02	4.149594E-01	1.118943E+00
44	1.878459E-02	-2.212512E-02	-2.953318E-01	6.679982E-01	-9.600090E-02	3.925805E-01	1.118943E+00
45	1.783813E-02	-2.101034E-02	-3.067769E-01	6.479982E-01	-1.160009E-01	3.702017E-01	1.118943E+00
46	1.635249E-02	-1.926040E-02	-3.184077E-01	6.279982E-01	-1.360009E-01	3.478233E-01	1.118722E+00
47	1.426984E-02	-1.680481E-02	-3.302447E-01	6.079982E-01	-1.560009E-01	3.254777E-01	1.115093E+00
48	1.160179E-02	-1.365041E-02	-3.422848E-01	5.879982E-01	-1.760009E-01	3.032493E-01	1.107012E+00
49	8.362097E-03	-9.806570E-03	-3.545245E-01	5.679982E-01	-1.960009E-01	2.812270E-01	1.094477E+00
50	4.559380E-03	-5.276558E-03	-3.669621E-01	5.479982E-01	-2.160009E-01	2.594998E-01	1.077490E+00
51	1.967073E-04	-5.751531E-05	-3.795976E-01	5.279982E-01	-2.360009E-01	2.381570E-01	1.056050E+00
52	-4.728961E-03	5.859676E-03	-3.924329E-01	5.079982E-01	-2.560009E-01	2.172875E-01	1.030158E+00
53	-1.022731E-02	1.249075E-02	-4.054722E-01	4.879982E-01	-2.760009E-01	1.969804E-01	9.998127E-01
54	-1.631566E-02	1.985759E-02	-4.187216E-01	4.679982E-01	-2.960009E-01	1.773248E-01	9.650148E-01
55	-2.301963E-02	2.798742E-02	-4.321896E-01	4.479982E-01	-3.160009E-01	1.584095E-01	9.257639E-01
56	-3.037401E-02	3.691036E-02	-4.458861E-01	4.279982E-01	-3.360009E-01	1.403238E-01	8.820604E-01
57	-3.842302E-02	4.665411E-02	-4.598224E-01	4.079982E-01	-3.560009E-01	1.231568E-01	8.339042E-01
58	-4.721882E-02	5.723292E-02	-4.740083E-01	3.879982E-01	-3.760009E-01	1.069974E-01	7.812953E-01
59	-5.681671E-02	6.862581E-02	-4.884482E-01	3.679982E-01	-3.960009E-01	9.193466E-02	7.242337E-01
60	-6.726174E-02	8.073318E-02	-5.031318E-01	3.479982E-01	-4.160009E-01	7.805772E-02	6.627193E-01
61	-7.855840E-02	9.329444E-02	-5.180155E-01	3.279982E-01	-4.360009E-01	6.545553E-02	5.967518E-01
62	-9.054981E-02	1.058624E-01	-5.330004E-01	3.079982E-01	-4.560009E-01	5.420770E-02	5.280001E-01
63	-1.026890E-01	1.183932E-01	-5.480004E-01	2.879982E-01	-4.760009E-01	4.431858E-02	4.616547E-01
64	-1.148282E-01	1.309240E-01	-5.630004E-01	2.679982E-01	-4.960009E-01	3.571185E-02	3.997620E-01
65	-1.269674E-01	1.434549E-01	-5.780004E-01	2.479982E-01	-5.160009E-01	2.829843E-02	3.423221E-01
66	-1.391066E-01	1.559857E-01	-5.930004E-01	2.279982E-01	-5.360009E-01	2.198929E-02	2.893349E-01
67	-1.512459E-01	1.685166E-01	-6.080005E-01	2.079982E-01	-5.560009E-01	1.669534E-02	2.408002E-01
68	-1.633851E-01	1.810474E-01	-6.230004E-01	1.879982E-01	-5.760009E-01	1.232757E-02	1.967185E-01
69	-1.755243E-01	1.935782E-01	-6.380004E-01	1.679982E-01	-5.960009E-01	8.796920E-03	1.570895E-01
70	-1.876635E-01	2.061091E-01	-6.530004E-01	1.479982E-01	-6.160009E-01	6.014317E-03	1.219132E-01
71	-1.998028E-01	2.186399E-01	-6.680004E-01	1.279982E-01	-6.360009E-01	3.890710E-03	9.118973E-02
72	-2.119420E-01	2.311708E-01	-6.830004E-01	1.079982E-01	-6.560009E-01	2.337046E-03	6.491896E-02
73	-2.240813E-01	2.437016E-01	-6.980005E-01	8.799824E-02	-6.760009E-01	1.264265E-03	4.310080E-02
74	-2.362205E-01	2.562325E-01	-7.130004E-01	6.799824E-02	-6.960009E-01	5.833233E-04	2.573552E-02
75	-2.483597E-01	2.687633E-01	-7.280004E-01	4.799824E-02	-7.160009E-01	2.051600E-04	1.282297E-02
76	-2.604989E-01	2.812941E-01	-7.430004E-01	2.799824E-02	-7.360009E-01	4.072024E-05	4.363151E-03
77	-2.726381E-01	2.938250E-01	-7.580004E-01	7.998241E-03	-7.560009E-01	9.493124E-07	3.560679E-04
78	-2.774805E-01	2.988237E-01	-7.639841E-01	0.000000E+00	-7.639991E-01	0.000000E+00	0.000000E+00
# Orientation 3 : pitch = -16.0 degree ;   roll = -20.0 degree
1	-2.702919E-09	3.175230E-09	-2.612227E-08	1.507699E+00	7.538493E-01	1.000000E+00	0.000000E+00
2	-4.741272E-06	4.652338E-06	-1.203646E-05	1.487699E+00	7.338493E-01	9.999837E-01	2.443268E-03
3	-3.582509E-05	3.570636E-05	-9.435047E-05	1.467699E+00	7.138493E-01	9.998697E-01	9.773072E-03
4	-1.145330E-04	1.150997E-04	-3.118776E-04	1.447699E+00	6.938493E-01	9.995602E-01	2.198941E-02
5	-2.564219E-04	2.601178E-04	-7.240735E-04	1.427699E+00	6.738493E-01	9.989575E-01	3.909229E-02
6	-4.715947E-04	4.832180E-04	-1.385000E-03	1.407699E+00	6.538493E-01	9.979639E-01	6.108171E-02
7	-7.646707E-04	7.924469E-04	-2.343889E-03	1.387699E+00	6.338493E-01	9.964817E-01	8.795765E-02
8	-1.134905E-03	1.191381E-03	-3.645476E-03	1.367699E+00	6.138493E-01	9.944130E-01	1.197201E-01
9	-1.576277E-03	1.679066E-03	-5.330559E-03	1.347699E+00	5.938493E-01	9.916603E-01	1.563692E-01
10	-2.077284E-03	2.250257E-03	-7.436719E-03	1.327699E+00	5.738493E-01	9.881257E-01	1.979047E-01
11	-2.621028E-03	2.895299E-03	-9.998646E-03	1.307699E+00	5.538493E-01	9.837115E-01	2.443268E-01
12	-3.184917E-03	3.600183E-03	-1.304912E-02	1.287699E+00	5.338493E-01	9.783200E-01	2.956355E-01
13	-3.740462E-03	4.346076E-03	-1.661962E-02	1.267699E+00	5.138493E-01	9.718535E-01	3.518306E-01
14	-4.252585E-03	5.109254E-03	-2.074107E-02	1.247699E+00	4.938493E-01	9.642142E-01	4.129123E-01
15	-4.679385E-03	5.860749E-03	-2.544483E-02	1.227699E+00	4.738493E-01	9.553046E-01	4.787643E-01
16	-4.991206E-03	6.556693E-03	-3.074866E-02	1.207699E+00	4.538493E-01	9.450559E-01	5.461100E-01
17	-5.196872E-03	7.129374E-03	-3.664180E-02	1.187699E+00	4.338493E-01	9.334602E-01	6.134555E-01
18	-5.308780E-03	7.505956E-03	-4.311248E-02	1.167699E+00	4.138493E-01	9.205205E-01	6.800309E-01
19	-5.318197E-03	7.644716E-03	-5.012828E-02	1.147699E+00	3.938493E-01	9.062902E-01	7.421897E-01
20	-5.200746E-03	7.534030E-03	-5.764013E-02	1.127699E+00	3.738493E-01	8.908655E-01	7.994619E-01
21	-4.935237E-03	7.166210E-03	-6.560242E-02	1.107699E+00	3.538493E-01	8.743443E-01	8.518476E-01
22	-4.504534E-03	6.536606E-03	-7.397291E-02	1.087699E+00	3.338493E-01	8.568242E-01	8.993467E-01
23	-3.895911E-03	5.644444E-03	-8.271208E-02	1.067699E+00	3.138493E-01	8.384030E-01	9.419593E-01
24	-3.101471E-03	4.493359E-03	-9.178242E-02	1.047699E+00	2.938493E-01	8.191784E-01	9.796854E-01
25	-2.119007E-03	3.092471E-03	-1.011479E-01	1.027699E+00	2.738493E-01	7.992482E-01	1.012525E+00
26	-9.528128E-04	1.457098E-03	-1.107734E-01	1.007699E+00	2.538493E-01	7.787100E-01	1.040478E+00
27	3.852221E-04	-3.896324E-04	-1.206240E-01	9.876987E-01	2.338493E-01	7.576616E-01	1.063544E+00
28	1.874146E-03	-2.415296E-03	-1.306649E-01	9.676987E-01	2.138493E-01	7.362008E-01	1.081724E+00
29	3.482309E-03	-4.576501E-03	-1.408602E-01	9.476987E-01	1.938493E-01	7.144252E-01	1.095018E+00
30	5.165276E-03	-6.816563E-03	-1.511730E-01	9.276987E-01	1.738493E-01	6.924327E-01	1.103425E+00
31	6.863621E-03	-9.063181E-03	-1.615644E-01	9.076987E-01	1.538493E-01	6.703208E-01	1.106945E+00
32	8.506921E-03	-1.123315E-02	-1.719970E-01	8.876987E-01	1.338493E-01	6.481797E-01	1.107064E+00
33	1.006379E-02	-1.328891E-02	-1.824603E-01	8.676987E-01	1.138493E-01	6.260385E-01	1.107064E+00
34	1.152456E-02	-1.521784E-02	-1.929576E-01	8.476987E-01	9.384931E-02	6.038972E-01	1.107064E+00
35	1.287827E-02	-1.700532E-02	-2.034926E-01	8.276987E-01	7.384931E-02	5.817559E-01	1.107064E+00
36	1.411217E-02	-1.863467E-02	-2.140701E-01	8.076987E-01	5.384931E-02	5.596147E-01	1.107064E+00
37	1.521149E-02	-2.008629E-02	-2.246951E-01	7.876987E-01	3.384931E-02	5.374733E-01	1.107064E+00
38	1.615888E-02	-2.133733E-02	-2.353738E-01	7.676987E-01	1.384931E-02	5.153321E-01	1.107064E+00
39	1.693389E-02	-2.236068E-02	-2.461135E-01	7.476987E-01	-6.150692E-03	4.931908E-01	1.107064E+00
40	1.751217E-02	-2.312427E-02	-2.569227E-01	7.276987E-01	-2.615069E-02	4.710496E-01	1.107064E+00
41	1.786461E-02	-2.358967E-02	-2.678117E-01	7.076987E-01	-4.615069E-02	4.489083E-01	1.107064E+00
42	1.795613E-02	-2.371049E-02	-2.787930E-01	6.876987E-01	-6.615069E-02	4.267670E-01	1.107064E+00
43	1.774382E-02	-2.343017E-02	-2.898816E-01	6.676987E-01	-8.615069E-02	4.046258E-01	1.107064E+00
44	1.717496E-02	-2.267903E-02	-3.010964E-01	6.476987E-01	-1.061507E-01	3.824845E-01	1.107064E+00
45	1.618382E-02	-2.137023E-02	-3.124603E-01	6.276987E-01	-1.261507E-01	3.603432E-01	1.107064E+00
46	1.468745E-02	-1.939433E-02	-3.240029E-01	6.076987E-01	-1.461507E-01	3.382020E-01	1.107064E+00
47	1.259583E-02	-1.662951E-02	-3.357564E-01	5.876987E-01	-1.661507E-01	3.160701E-01	1.105358E+00
48	9.902683E-03	-1.304531E-02	-3.477268E-01	5.676987E-01	-1.861507E-01	2.940201E-01	1.098832E+00
49	6.635872E-03	-8.648988E-03	-3.599092E-01	5.476987E-01	-2.061507E-01	2.721495E-01	1.087420E+00
50	2.817628E-03	-3.440615E-03	-3.723009E-01	5.276987E-01	-2.261507E-01	2.505559E-01	1.071121E+00
51	-1.536193E-03	2.586487E-03	-3.849008E-01	5.076987E-01	-2.461507E-01	2.293372E-01	1.049935E+00
52	-6.417158E-03	9.445790E-03	-3.977103E-01	4.876987E-01	-2.661507E-01	2.085911E-01	1.023864E+00
53	-1.182583E-02	1.715648E-02	-4.107325E-01	4.676987E-01	-2.861507E-01	1.884153E-01	9.929050E-01
54	-1.777411E-02	2.574170E-02	-4.239731E-01	4.476987E-01	-3.061507E-01	1.689075E-01	9.570600E-01
55	-2.428896E-02	3.522450E-02	-4.374395E-01	4.276987E-01	-3.261507E-01	1.501654E-01	9.163282E-01
56	-3.141776E-02	4.561985E-02	-4.511401E-01	4.076987E-01	-3.461507E-01	1.322869E-01	8.707101E-01
57	-3.923667E-02	5.691964E-02	-4.650835E-01	3.876987E-01	-3.661507E-01	1.153696E-01	8.202055E-01
58	-4.786283E-02	6.906385E-02	-4.792746E-01	3.676987E-01	-3.861507E-01	9.951125E-02	7.648143E-01
59	-5.747241E-02	8.188594E-02	-4.937077E-01	3.476987E-01	-4.061507E-01	8.480961E-02	7.045366E-01
60	-6.832618E-02	9.501106E-02	-5.083527E-01	3.276987E-01	-4.261507E-01	7.136239E-02	6.393794E-01
61	-8.069554E-02	1.079033E-01	-5.231534E-01	3.076987E-01	-4.461507E-01	5.924820E-02	5.720335E-01
62	-9.445992E-02	1.204820E-01	-5.380804E-01	2.876987E-01	-4.661507E-01	4.848100E-02	5.046880E-01
63	-1.089735E-01	1.328924E-01	-5.530753E-01	2.676987E-01	-4.861507E-01	3.905968E-02	4.377274E-01
64	-1.235431E-01	1.452902E-01	-5.680753E-01	2.476987E-01	-5.061507E-01	3.094291E-02	3.747647E-01
65	-1.381127E-01	1.576880E-01	-5.830753E-01	2.276987E-01	-5.261507E-01	2.403653E-02	3.166886E-01
66	-1.526823E-01	1.700858E-01	-5.980753E-01	2.076987E-01	-5.461507E-01	1.824281E-02	2.634990E-01
67	-1.672520E-01	1.824837E-01	-6.130754E-01	1.876987E-01	-5.661507E-01	1.346398E-02	2.151957E-01
